dataset	file_id	ref_len_norm	hyp_len_norm	hyp_minus_ref	filler_hits_pre_norm	filler_hits_post_norm	top_extra_tokens
figshare-osce	CAR0001	1015	1059	44	270	108	okay(52), is(10), it(8), i(8), have(8), you(5), yeah(5), all(5), right(5), am(4)
figshare-osce	CAR0002	1032	1082	50	205	75	okay(43), is(10), it(10), i(6), have(6), you(5), are(4), am(4), all(3), what(2)
figshare-osce	CAR0003	1241	1277	36	239	113	okay(55), i(9), is(8), am(6), it(5), in(4), do(4), not(4), hum(4), you(3)
figshare-osce	CAR0004	883	912	29	179	84	okay(34), you(9), i(8), am(8), is(8), all(7), right(5), are(5), not(5), what(4)
figshare-osce	CAR0005	1204	1309	105	198	83	okay(37), i(22), is(20), have(19), not(17), that(16), you(13), do(10), are(8), am(7)
figshare-osce	DER0001	1469	1604	135	206	115	i(41), okay(39), it(26), is(26), am(23), have(16), not(13), hum(8), do(5), the(5)
figshare-osce	GAS0001	965	1103	138	226	115	do(24), not(23), okay(19), hum(17), is(16), it(15), you(10), all(9), i(8), have(8)
figshare-osce	GAS0002	1092	1157	65	262	97	okay(40), have(11), it(11), not(10), i(8), is(8), has(6), nope(5), you(4), and(4)
figshare-osce	GAS0003	1021	1080	59	188	83	okay(39), not(24), do(17), is(17), it(14), have(12), i(8), yeah(5), am(4), no(4)
figshare-osce	GAS0004	1115	1238	123	199	93	okay(46), i(24), not(23), is(16), have(15), it(14), do(10), that(8), hum(7), you(6)
figshare-osce	GAS0005	1520	1632	112	382	138	okay(45), is(35), he(18), not(18), it(15), and(11), that(8), do(7), has(6), have(6)
figshare-osce	GAS0007	873	953	80	120	66	okay(25), hum(14), i(11), is(9), it(7), am(7), you(5), not(4), a(4), are(4)
figshare-osce	GEN0001	1081	1147	66	154	96	okay(25), hum(16), i(11), have(11), not(11), you(8), is(8), do(6), are(6), no(5)
figshare-osce	MSK0003	1791	1900	109	386	157	okay(50), i(23), is(19), it(16), not(15), and(12), have(12), am(11), all(8), has(8)
