file_id	parakeet_span	medasr_replacement	vocab_phrase	edit_dist	max_len
D0420-S1-T03	ablify	abilify	abilify	1	7
D0420-S1-T04	if	iff	iff	1	3
D0420-S1-T04	others'	others	others	1	7
D0420-S1-T05	prepares	prepar	prepar	2	8
D0420-S2-T01	clonopin	klonopin	klonopin	1	8
D0420-S2-T01	clonopin	klonopin	klonopin	1	8
D0420-S2-T01	clonopin	klonopin	klonopin	1	8
D0420-S2-T01	clonopen	klonopin	klonopin	2	8
D0420-S2-T01	clonopen	klonopin	klonopin	2	8
D0420-S2-T01	welbutrin	wellbutrin	wellbutrin	1	10
D0420-S2-T01	welbutrin	wellbutrin	wellbutrin	1	10
D0420-S2-T01	welbutrin	wellbutrin	wellbutrin	1	10
D0420-S2-T01	welbutrin	wellbutrin	wellbutrin	1	10
D0420-S2-T01	wilbutrin	wellbutrin	wellbutrin	2	10
D0420-S2-T01	clonopin	klonopin	klonopin	1	8
D0420-S3-T03	chad	chat	chat	1	4
D0421-S1-T01	seraquel	seroquel	seroquel	1	8
D0421-S1-T01	seraquel	seroquel	seroquel	1	8
D0421-S1-T01	seraquel	seroquel	seroquel	1	8
D0421-S1-T01	welbuterin	wellbutrin	wellbutrin	2	10
D0421-S1-T01	seraquel	seroquel	seroquel	1	8
D0421-S1-T01	snowy	snow	snow	1	5
D0421-S1-T01	path	pat	pat	1	4
D0421-S1-T02	ambient	ambien	ambien	1	7
D0421-S1-T02	trazodome	trazodone	trazodone	1	9
D0421-S1-T02	dave	date	date	1	4
D0421-S1-T04	comforts	comfort	comfort	1	8
D0421-S1-T04	renewals	renewal	renewal	1	8
D0421-S3-T03	fact	fat	fat	1	4
D0422-S3-T03	of painkillers	pain killers	pain killers	2	13
D0422-S4-T01	ambient	ambien	ambien	1	7
D0422-S4-T01	ambient	ambien	ambien	1	7
D0422-S4-T01	ambient	ambien	ambien	1	7
D0422-S4-T01	everyone	everone	everone	1	8
D0422-S4-T02	clonopin	klonopin	klonopin	1	8
D0422-S4-T02	clonopid	klonopin	klonopin	2	8
D0422-S4-T02	clonopin	klonopin	klonopin	1	8
D0422-S4-T02	whelbutrin	wellbutrin	wellbutrin	2	10
D0422-S4-T02	clonopin	klonopin	klonopin	1	8
D0422-S4-T02	clonopin	klonopin	klonopin	1	8
D0422-S4-T02	clonopin	klonopin	klonopin	1	8
D0422-S4-T02	clonopin	klonopin	klonopin	1	8
D0423-S1-T01	so	soy	soy	1	3
D0423-S1-T01	shame	sham	sham	1	5
D0423-S2-T02	if	iff	iff	1	3
D0424-S1-T01	crib	crab	crab	1	4
D0424-S1-T03	amanda	namenda	namenda	2	7
D0424-S2-T01	anti-anxiety	antianxiety	antianxiety	0	11
D0424-S2-T05	bands	bans	bans	1	5
D0424-S2-T06	other's	others	others	1	7
D0424-S2-T06	wellbutron	wellbutrin	wellbutrin	1	10
D0424-S3-T01	safe	saf	saf	1	4
D0424-S3-T01	emma	ema	ema	1	4
D0424-S3-T01	emma	ema	ema	1	4
D0424-S3-T01	emma	ema	ema	1	4
D0424-S3-T01	emma	ema	ema	1	4
D0425-S2-T01	pent	pen	pen	1	4
D0425-S2-T02	so	soy	soy	1	3
D0425-S2-T02	fees	fes	fes	1	4
D0425-S2-T04	paid	pid	pid	1	4
