file_id	term	category	length	parakeet_sub	ref_context
D0420-S1-T01	running	FINDING	1	written	cuz he's not running back at all
D0420-S1-T01	write	FINDING	1	right	soul yeah i write a big fish
D0420-S1-T01	write	FINDING	1	right	he got a write-up christ ski i
D0420-S1-T01	write	FINDING	1	right	back at all write it sounds as
D0420-S1-T01	write	FINDING	1	right	me one day write one day he
D0420-S1-T01	ear	CONDITION	1	ears	goes in your ear is that right
D0420-S1-T01	ear	CONDITION	1	ears	come through your ear is rather than
D0420-S1-T01	ski	ANATOMY	1	he	a write-up christ ski i called him
D0420-S1-T01	gps	CONDITION	1	gp's	it from your gps letter have you
D0420-S1-T01	paw	ANATOMY	1	person top	to the top paw paw stop dog
D0420-S1-T01	paw	ANATOMY	1	person top	the top paw paw stop dog that's
D0420-S1-T01	monkeys	PROCEDURE	1	<DELETED>	unit no more monkeys i want to
D0420-S1-T02	nutrition	FINDING	1	<DELETED>	talked to the nutrition nutritionist about this
D0420-S1-T02	agree	FINDING	1	agreed	here last you agree to keep working
D0420-S1-T02	fart	SYMPTOM	1	far	how often and fart do you run
D0420-S1-T03	healthy eating	FINDING	2	the	or do drugs healthy eating and spending binges
D0420-S1-T03	depakote	DRUG	1	depicote geodone	have been on depakote and geodon and
D0420-S1-T03	abilify	DRUG	1	ablify	and geodon and abilify can you tell
D0420-S1-T03	geodon	DRUG	1	<DELETED>	on depakote and geodon and abilify can
D0420-S1-T03	david	CONDITION	1	<DELETED>	them carl was david different he said
D0420-S1-T03	spell	SYMPTOM	1	speak	started can you spell the word spread
D0420-S1-T03	dock	PROCEDURE	1	doc	sure let's go dock then maybe carl
D0420-S1-T03	arm	ANATOMY	1	arms	to have my arm stitched up and
D0420-S1-T03	o h	FINDING	2	<DELETED>	f e l o h s s a
D0420-S1-T03	problem	PROCEDURE	1	<DELETED>	binges cause a problem with work or
D0420-S1-T04	to doctor	FINDING	2	<UNKNOWN>	just recently went to doctor green because this
D0420-S1-T04	response	FINDING	1	responsive	and exposure and response prevention therapy to
D0420-S1-T04	3 times	FINDING	2	three	turn the lock 3 times in the need
D0420-S1-T04	others	DRUG	1	others'	had contact with others hands mainly always
D0420-S1-T04	egg	DRUG	1	accountant	account as an egg and accounting so
D0420-S1-T04	increase	FINDING	1	increased	counting and washing increase before you started
D0420-S1-T04	changed	PROCEDURE	1	change	day yes i changed after i come
D0420-S1-T05	don't know	FINDING	2	<UNKNOWN>	go out i don't know you don't go
D0420-S1-T05	chiggers	CONDITION	1	that	body starts of chiggers to do it
D0420-S1-T05	stress	FINDING	1	stressed	i've felt more stress about work than
D0420-S1-T05	stress	FINDING	1	<DELETED>	became much more stress stressful for all
