file_id	position	type	parakeet_word	medasr_word
D0420-S1-T01	288	sub	soul	sole
D0420-S1-T01	293	sub	soul	sole
D0420-S1-T01	296	sub	right	write
D0420-S1-T01	320	sub	starving nah	staring not
D0420-S1-T01	390	sub	cure	cae
D0420-S1-T01	611	sub	libby	living
D0420-S1-T01	1421	sub	sir he	cer like
D0420-S1-T01	1525	ins		arch
D0420-S1-T01	1606	ins		arch arch
D0420-S1-T01	1683	sub	enthusiasm	asm
D0420-S1-T01	1919	sub	dumps	dops
D0420-S1-T01	2504	sub	right where's	write wears
D0420-S1-T01	2581	ins		top boss
D0420-S1-T02	148	ins		nutrition
D0420-S1-T02	182	ins		five
D0420-S1-T02	182	sub	5-5	five
D0420-S1-T02	365	sub	agreed	agree
D0420-S1-T03	147	sub	carl	car
D0420-S1-T03	360	sub	depicote geodone	depakote geodon
D0420-S1-T03	363	sub	ablify	abilify
D0420-S1-T03	448	sub	asshole	hole
D0420-S1-T03	525	sub	you're	near
D0420-S1-T03	558	sub	problems	problem
D0420-S1-T03	565	sub	carl	car
D0420-S1-T03	613	sub	fault	fall
D0420-S1-T03	715	ins		t n o r f e l o h s s
D0420-S1-T03	898	sub	carl	car
D0420-S1-T04	124	sub	if	iff
D0420-S1-T04	909	ins		a
D0420-S1-T04	917	sub	phone	pel
D0420-S1-T04	1065	sub	are	doa
D0420-S1-T04	1142	sub	others'	others
D0420-S1-T04	1377	ins		rat
D0420-S1-T04	1442	sub	dr green	d unintelligible
D0420-S1-T04	1463	ins		response
D0420-S1-T05	899	ins		stress
D0420-S1-T05	1013	sub	pub you're	pob you
D0420-S1-T05	1490	sub	right okay	one explain
D0420-S1-T05	1549	sub	prepares	prepar
D0420-S2-T01	322	sub	nobody	body
D0420-S2-T01	901	sub	dye	die
D0420-S2-T01	907	sub	dye	die
D0420-S2-T01	915	sub	dye four skeins	die for scines
D0420-S2-T01	1164	sub	ceracol	seroquel
D0420-S2-T01	1172	sub	clonopin	klonopin
D0420-S2-T01	1182	sub	clonopin	klonopin
D0420-S2-T01	1216	sub	clonopin	klonopin
D0420-S2-T01	1246	ins		klonopin
D0420-S2-T01	1351	sub	a	klonopin
D0420-S2-T01	1359	sub	clonopen	klonopin
D0420-S2-T01	1464	sub	clonopen	klonopin
D0420-S2-T01	1531	sub	welbutrin produced	wellbutrin produce
D0420-S2-T01	1549	sub	welbutrin	wellbutrin
D0420-S2-T01	1571	sub	welbutrin	wellbutrin
D0420-S2-T01	1582	sub	welbutrin	wellbutrin
D0420-S2-T01	1587	sub	welbutrin	wellbutrin
D0420-S2-T01	1619	sub	batch	back
D0420-S2-T01	1733	sub	wilbutrin	wellbutrin
D0420-S2-T01	1757	sub	stuff	staff
D0420-S2-T01	1781	ins		thes
D0420-S2-T01	1847	ins		seroquel
D0420-S2-T01	2282	sub	neither	either
D0420-S2-T01	2500	ins		ass
D0420-S2-T01	2660	sub	grant	gra
D0420-S2-T01	2808	ins		three hour
D0420-S2-T01	2924	sub	they'll	will
D0420-S2-T01	3232	sub	po	peo
D0420-S2-T01	3500	sub	they'll	will
D0420-S2-T01	4039	sub	pain	brain
