file_id	position	type	parakeet_word	medasr_word
day1_consultation01	0	sub	hello hello how are you hi shall	unintelligible unintelligible uninellible ha lo stoolhea mmy
day1_consultation01	120	sub	last couple of	ing weakthargic unintelligible
day1_consultation01	1122	sub	advise	unintelligible
day1_consultation01	1171	sub	i'd like	unintelligible unintelligible
day1_consultation02	379	sub	anymore	itch
day1_consultation02	500	sub	ago four	ag unintelligible
day1_consultation02	631	sub	mainly your	arm leg
day1_consultation02	697	sub	just	unintelligible
day1_consultation02	724	sub	i think so okay	ok unintelligible uh unintelligible
day1_consultation02	799	sub	normally at this stage	unintelligible in you uh
day1_consultation02	954	sub	and tell me	unintelligible this date
day1_consultation02	1296	sub	loratidine	loratadine
day1_consultation02	1304	sub	of	unintelligible
day1_consultation02	1350	sub	it next time i see you	an eunem c oka unintelligible unintelligible
day1_consultation02	1416	sub	like	fexofenadine
day1_consultation02	1425	sub	it's	unintelligible
day1_consultation03	26	sub	left side it's	nause vomiting sens
day1_consultation03	1271	sub	cocodamol	coc
day1_consultation04	478	sub	in your	chest uhm
day1_consultation04	1290	sub	spiritual	respiratory
day1_consultation04	1300	sub	um these normally lasts	uhm it normal last
day1_consultation04	1331	sub	i probably	unintelligible youting
day1_consultation04	1382	sub	i'd	unintelligible
day1_consultation05	1159	sub	a pregnancy-related	pregnancy related
day1_consultation05	1189	sub	based on those	bse test would
day1_consultation05	1350	sub	and	swe
day1_consultation06	224	sub	mentioned have	mentionedin unintelligible
day1_consultation06	785	sub	i'm sorry to hear that	uhm ear unintelligible intelligible unintelligible
day1_consultation06	1462	sub	fruzamide	furosemide
day1_consultation06	1557	sub	the	pne
day1_consultation08	0	sub	okay oh i can do that hello hello	kin proies medation allergiesunintig tribut factor uh it
day1_consultation08	28	sub	liza	difficult
day1_consultation08	851	sub	have you heard	uhible uh unintelligible
day1_consultation08	871	sub	leaflet	unintelligible
day1_consultation08	920	ins		dry
day1_consultation08	943	sub	hopefully	hope
day1_consultation08	1001	sub	but let's see	butless less unintelligible
day1_consultation08	1024	sub	and	unintelligible
day1_consultation09	0	sub	hello hello	over-the-counter bicarbonate
day1_consultation09	105	sub	do right well thank	udder u last three
day1_consultation09	645	sub	then	burning
day1_consultation09	1089	sub	nitrofurintoin	nitrofurantoin
day1_consultation09	1091	ins		trimethoprim
day1_consultation09	1108	sub	that should	unintelligible it
day1_consultation11	1428	sub	yeah it's been it's been	otherwisetaan kay way med colon
day1_consultation11	1459	sub	so i try	unintelligible ares ellig
day1_consultation11	1599	sub	so normally	normal fa
day1_consultation12	213	sub	have	hea
day1_consultation12	543	sub	when	one
day1_consultation13	1168	sub	day okay	unintelligible uh
day1_consultation13	1174	sub	adriana	unintelligible
day1_consultation14	1500	sub	it normally lasts about	normal laic re k
day1_consultation15	908	sub	very	com
day1_consultation15	922	sub	using gloves you can sometimes	usinglovesintellig che suun stro recomend
day1_consultation15	992	sub	creams to	cream tolp
day2_consultation01	240	sub	you've	hearing
day2_consultation01	372	sub	specifically apart from	specally unintelligible unintelligible
day2_consultation01	378	sub	significance i'm in	unintelligible unintell a
day2_consultation01	570	sub	what i'll do	unintelligible caelligible tnitus
day2_consultation01	836	sub	for why	w unintelligible
day2_consultation01	853	sub	range of	rad diffent
day2_consultation01	857	sub	and in fact	i am gla
day2_consultation02	26	sub	appointment	elbow
day2_consultation02	926	sub	from now	uh unintelligible
day2_consultation02	984	sub	follow-up	followup
day2_consultation02	1360	sub	a	followup
day2_consultation02	1375	sub	be face-to-face if	facetoface unintelligible unintelligible
day2_consultation04	0	sub	hi there good morning hello i'm dr dean misler from	unintelligible ible igibleellible unigible uninintelligible unintelligibleunintelligible unintelligible thuunt coing k
day2_consultation04	55	sub	are i'm	unintelligible k
day2_consultation04	751	sub	lighting so it	unintelligible ssible unintelligible
day2_consultation04	1161	sub	would involve	wouldv unintelligible
day2_consultation04	1368	sub	with	unintelligible
day2_consultation04	1528	sub	follow-up	followup
day2_consultation04	1531	sub	if things	thing unintelligible
day2_consultation04	1543	sub	like	likely
day2_consultation05	505	sub	these episodes	theod unintelligible
day2_consultation05	650	sub	i	unintelligible
day2_consultation05	722	sub	i don't	unintelligible orstke
day2_consultation05	772	sub	how	unintelligible
day2_consultation05	849	sub	fantastic okay	unintelligible oky
day2_consultation05	909	sub	okay	unintelligible
day2_consultation05	1062	sub	at all no i don't right okay that's fine now	ible unellig that fi uninelligible concern aboutstke or tia- transient
day2_consultation05	1270	sub	turnaround	turn
day2_consultation06	529	sub	moment	appearance
day2_consultation06	702	sub	family is	wrist u
day2_consultation06	1106	ins		one
day2_consultation06	1209	sub	called	stridor
day2_consultation06	1304	sub	i'd like	a likely
day2_consultation07	290	sub	okay sure give	unintelligible s just
day2_consultation08	1408	sub	we're	unintelligible
day2_consultation08	1538	sub	i'm talking	a unintelligible
day2_consultation09	789	sub	give you	meformin losartan
day2_consultation10	1218	ins		unintelligible
day2_consultation10	1276	sub	self-certify	iff
day2_consultation10	1348	sub	things i'd like	thing animm hour
day2_consultation10	1435	sub	follow-up	followup
day3_consultation01	987	sub	that person's	thatance found
day3_consultation02	613	sub	hubs	hops
day3_consultation02	629	sub	so the	sounintible run
day3_consultation02	862	sub	i'd	ili
day3_consultation03	0	sub	hello	light
day3_consultation03	1286	sub	your	lives
day3_consultation03	1293	sub	and	unintelligible
day3_consultation03	1478	sub	breath i	breathing chin
day3_consultation04	769	sub	that's not ideal the	that no idealt unintelligible
day3_consultation05	685	sub	more we'll	mobile stock
day3_consultation05	724	sub	if you	therapy but
day3_consultation06	509	sub	i'd	unlikely
day3_consultation09	1643	sub	you	either
day3_consultation10	1203	sub	all	unintelligible
day3_consultation10	1215	sub	that	back
day4_consultation01	515	sub	there's	unintelligible
day4_consultation01	627	sub	that we can give	unintelligible ka ed w
day4_consultation01	785	sub	to	unintelligible
day4_consultation04	0	sub	hi	unintelligible
day4_consultation06	987	sub	what you're	you suffer
day4_consultation06	1145	ins		headache
day4_consultation07	0	sub	hello can you	elligible unintelligible t
day4_consultation07	695	sub	conditions or	condy unintelligible
day4_consultation07	720	sub	on your	moinelligo unintelligible
day4_consultation07	832	sub	currently at the	unintelligible no okay
day4_consultation07	846	sub	but i'm allergic to	unintelligible okayu and uh
day4_consultation07	1412	sub	seek local	see ctp
day4_consultation07	1494	sub	are was	unintelligible so
day4_consultation08	583	sub	just uh quite just not	justocused difficult f qui uhm
day4_consultation08	643	sub	so yeah	unintelligible rely
day4_consultation08	666	sub	are you	slight unintigible
day4_consultation08	759	sub	don't think it's an	do unintelligible sor you
day4_consultation08	959	sub	diagnosis	diagnoses
day4_consultation08	1238	sub	when i do sports compared	unintelligible cop mons aay you
day4_consultation08	1298	sub	wrap	unintelligible
day4_consultation09	70	sub	been	asa
day4_consultation09	1115	sub	dampen down	and asthmatics
day4_consultation09	1258	sub	you out an awful lot	unintelligible uhintelligible you the the
day4_consultation09	1294	ins		tle
day4_consultation09	1299	sub	ventilin	ventolin
day4_consultation09	1304	sub	a	ventolin
day4_consultation09	1310	sub	when	unintelligible
day4_consultation09	1321	sub	ventilin	ventolin
day4_consultation09	1338	sub	so	unintelligible
day4_consultation10	777	sub	are	unintelligible
day5_consultation01	1041	sub	and arrange	toarrange unintelligible
day5_consultation01	1051	sub	haven't had it checked	have not have chat
day5_consultation02	319	sub	doing lots	dehydrated and
day5_consultation02	659	sub	okay i'll	unintelligible yea
day5_consultation02	749	sub	chemists and	cs unintelligible
day5_consultation02	769	sub	on your notes okay	when unintelligible unintelligible um
day5_consultation02	801	sub	problems	problem
day5_consultation03	1930	sub	yeah	unintelligible
day5_consultation03	1960	sub	what we	unintelligible ly
day5_consultation03	2031	sub	details	deta
day5_consultation06	1003	ins		it symptoms if
day5_consultation07	868	sub	the important thing	and unintelligible and
day5_consultation07	905	ins		cough
day5_consultation07	1016	sub	again okay	unintelligible intellible
day5_consultation08	903	sub	regularly than	regul thein
day5_consultation08	1075	sub	okay	unintelligible
day5_consultation10	1151	sub	start	stop
day5_consultation10	1177	sub	waking you up in the nighttime it's	w nightun ion migra unintelligelligible unintelligible un
day5_consultation11	1307	sub	you know they	macetaminophen ore drgsyou
day5_consultation11	1460	sub	brings the	unintelligible he
day5_consultation11	1499	sub	and	either
day5_consultation11	1538	sub	a	slight
day5_consultation11	1557	sub	make	unintelligible
day5_consultation11	1639	sub	ligaments there's i	ligament there is
day5_consultation11	1717	sub	time	times
day5_consultation12	540	sub	is there anything you	isth thinks change the
day5_consultation12	570	sub	slightly	slight
