dataset	model	top_category	drug_rate	top_rate	drug_is_top
nazmulkazi	medasr-int8	DRUG	0.290	0.290	True
nazmulkazi	medasr	DRUG	0.288	0.288	True
nazmulkazi	nemo-fastconformer-int8	LAB_RESULT	0.235	0.258	False
nazmulkazi	nemo-fastconformer	DRUG	0.240	0.240	True
nazmulkazi	nemotron	DRUG	0.530	0.530	True
nazmulkazi	paraformer-en	LAB_RESULT	0.218	0.226	False
nazmulkazi	parakeet-tdt-0.6b-v2	DRUG	0.160	0.160	True
nazmulkazi	qwen3-asr	DRUG	0.171	0.171	True
nazmulkazi	sensevoice-no-itn	DRUG	0.190	0.190	True
nazmulkazi	sensevoice	DRUG	0.187	0.187	True
nazmulkazi	whisper-base-en	DRUG	0.166	0.166	True
nazmulkazi	whisper-distil-v3.5	DRUG	0.162	0.162	True
nazmulkazi	whisper-turbo	LAB_RESULT	0.134	0.161	False
nazmulkazi	zipformer-zh-en	DRUG	0.287	0.287	True
nazmulkazi	cloud-assemblyai	LAB_RESULT	0.117	0.129	False
nazmulkazi	cloud-aws	ANATOMY	0.039	0.043	False
nazmulkazi	cloud-azure	DRUG	0.106	0.106	True
nazmulkazi	cloud-deepgram	LAB_RESULT	0.116	0.129	False
nazmulkazi	cloud-google	DRUG	0.147	0.147	True
primock57	medasr-int8	LAB_RESULT	0.855	1.000	False
primock57	medasr	LAB_RESULT	0.866	1.000	False
primock57	nemo-fastconformer-int8	DRUG	0.532	0.532	True
primock57	nemo-fastconformer	DRUG	0.540	0.540	True
primock57	nemotron	DRUG	0.546	0.546	True
primock57	paraformer-en	DRUG	0.522	0.522	True
primock57	parakeet-tdt-0.6b-v2	DRUG	0.243	0.243	True
primock57	qwen3-asr	DRUG	0.277	0.277	True
primock57	sensevoice-no-itn	DRUG	0.371	0.371	True
primock57	sensevoice	DRUG	0.378	0.378	True
primock57	whisper-base-en	DRUG	0.348	0.348	True
primock57	whisper-distil-v3.5	DRUG	0.263	0.263	True
primock57	whisper-turbo	DRUG	0.229	0.229	True
primock57	zipformer-zh-en	LAB_RESULT	0.601	1.000	False
primock57	cloud-assemblyai	DRUG	0.175	0.175	True
primock57	cloud-aws	DRUG	0.051	0.051	True
primock57	cloud-azure	DRUG	0.208	0.208	True
primock57	cloud-deepgram	DRUG	0.187	0.187	True
primock57	cloud-google	DRUG	0.317	0.317	True
figshare-osce	medasr-int8	DRUG	0.492	0.492	True
figshare-osce	medasr	DRUG	0.496	0.496	True
figshare-osce	nemo-fastconformer-int8	DRUG	0.317	0.317	True
figshare-osce	nemo-fastconformer	DRUG	0.313	0.313	True
figshare-osce	nemotron	DRUG	0.416	0.416	True
figshare-osce	paraformer-en	DRUG	0.320	0.320	True
figshare-osce	parakeet-tdt-0.6b-v2	LAB_RESULT	0.178	0.340	False
figshare-osce	parakeet-tdt-0.6b-v3	ANATOMY	0.069	0.132	False
figshare-osce	qwen3-asr	DRUG	0.114	0.114	True
figshare-osce	sensevoice-no-itn	DRUG	0.185	0.185	True
figshare-osce	sensevoice	DRUG	0.181	0.181	True
figshare-osce	whisper-base-en	DRUG	0.184	0.184	True
figshare-osce	whisper-distil-v3.5	DRUG	0.105	0.105	True
figshare-osce	whisper-turbo	DRUG	0.089	0.089	True
figshare-osce	zipformer-zh-en	CONDITION	0.401	0.448	False
figshare-osce	cloud-assemblyai	PROCEDURE	0.055	0.062	False
figshare-osce	cloud-azure	PROCEDURE	0.053	0.066	False
figshare-osce	cloud-deepgram	SYMPTOM	0.048	0.059	False
figshare-osce	cloud-google	PROCEDURE	0.100	0.119	False
