term	category	first_tier	first_source
vomiting diarrhea	SYMPTOM	1a	1a:primock57
feeling feverish	SYMPTOM	1a	1a:primock57
muscular cramp	SYMPTOM	1a	1a:primock57
other symptoms	SYMPTOM	1a	1a:primock57
watery stool	SYMPTOM	1a	1a:primock57
night sweats	SYMPTOM	1a	1a:primock57
lethargic	SYMPTOM	1a	1a:primock57
symptoms	SYMPTOM	1a	1a:primock57
vomiting	SYMPTOM	1a	1a:primock57
vomited	SYMPTOM	1a	1a:primock57
unwell	SYMPTOM	1a	1a:primock57
cramp	SYMPTOM	1a	1a:primock57
vomit	SYMPTOM	1a	1a:primock57
headache one side	SYMPTOM	1a	1a:primock57
breathing difficulties	SYMPTOM	1a	1a:primock57
itchy skin	SYMPTOM	1a	1a:primock57
sore skin	SYMPTOM	1a	1a:primock57
itching	SYMPTOM	1a	1a:primock57
painful	SYMPTOM	1a	1a:primock57
fevers	SYMPTOM	1a	1a:primock57
itchy	SYMPTOM	1a	1a:primock57
sore	SYMPTOM	1a	1a:primock57
rash	SYMPTOM	1a	1a:primock57
nausea vomiting	SYMPTOM	1a	1a:primock57
skin rashes	SYMPTOM	1a	1a:primock57
sharp pain	SYMPTOM	1a	1a:primock57
breathless	SYMPTOM	1a	1a:primock57
headaches	SYMPTOM	1a	1a:primock57
neck pain	SYMPTOM	1a	1a:primock57
headache	SYMPTOM	1a	1a:primock57
nauseous	SYMPTOM	1a	1a:primock57
feverish	SYMPTOM	1a	1a:primock57
weakness	SYMPTOM	1a	1a:primock57
sick	SYMPTOM	1a	1a:primock57
ill	SYMPTOM	1a	1a:primock57
difficulty breathing	SYMPTOM	1a	1a:primock57
muscle pain weakness	SYMPTOM	1a	1a:primock57
pain on swallowing	SYMPTOM	1a	1a:primock57
short of breath	SYMPTOM	1a	1a:primock57
pain in chest	SYMPTOM	1a	1a:primock57
muscle pain	SYMPTOM	1a	1a:primock57
runny nose	SYMPTOM	1a	1a:primock57
chest pain	SYMPTOM	1a	1a:primock57
sneezing	SYMPTOM	1a	1a:primock57
catching	SYMPTOM	1a	1a:primock57
rashes	SYMPTOM	1a	1a:primock57
tired	SYMPTOM	1a	1a:primock57
spots	SYMPTOM	1a	1a:primock57
aches	SYMPTOM	1a	1a:primock57
dry	SYMPTOM	1a	1a:primock57
burning pain	SYMPTOM	1a	1a:primock57
constipation	SYMPTOM	1a	1a:primock57
loose stools	SYMPTOM	1a	1a:primock57
heart problems	SYMPTOM	1a	1a:primock57
dizziness	SYMPTOM	1a	1a:primock57
coughing	SYMPTOM	1a	1a:primock57
feeling hot and cold	SYMPTOM	1a	1a:primock57
symptoms nausea	SYMPTOM	1a	1a:primock57
not feeling great	SYMPTOM	1a	1a:primock57
sore throats	SYMPTOM	1a	1a:primock57
joint pains	SYMPTOM	1a	1a:primock57
diarrhoea	SYMPTOM	1a	1a:primock57
stiffness	SYMPTOM	1a	1a:primock57
hoarse	SYMPTOM	1a	1a:primock57
stiff	SYMPTOM	1a	1a:primock57
itch	SYMPTOM	1a	1a:primock57
feeling ok	SYMPTOM	1a	1a:primock57
back pain	SYMPTOM	1a	1a:primock57
cramping	SYMPTOM	1a	1a:primock57
flush	SYMPTOM	1a	1a:primock57
no new symptoms	SYMPTOM	1a	1a:primock57
and back pain	SYMPTOM	1a	1a:primock57
aching pain	SYMPTOM	1a	1a:primock57
cramps	SYMPTOM	1a	1a:primock57
watery stools	SYMPTOM	1a	1a:primock57
weight	SYMPTOM	1a	1a:primock57
catch	SYMPTOM	1a	1a:primock57
stools loose	SYMPTOM	1a	1a:primock57
muscle pains	SYMPTOM	1a	1a:primock57
robert sign	SYMPTOM	1a	1a:primock57
neck stiffness	SYMPTOM	1a	1a:primock57
feel sick	SYMPTOM	1a	1a:primock57
dull	SYMPTOM	1a	1a:primock57
feel restless	SYMPTOM	1a	1a:primock57
ears pain	SYMPTOM	1a	1a:primock57
chills	SYMPTOM	1a	1a:primock57
soreness	SYMPTOM	1a	1a:primock57
room spinning	SYMPTOM	1a	1a:primock57
dizzy	SYMPTOM	1a	1a:primock57
illnesses	SYMPTOM	1a	1a:primock57
pain in ear	SYMPTOM	1a	1a:primock57
coughing up blood	SYMPTOM	1a	1a:primock57
enlarged glands	SYMPTOM	1a	1a:primock57
slight fever	SYMPTOM	1a	1a:primock57
deep breath	SYMPTOM	1a	1a:primock57
tiredness	SYMPTOM	1a	1a:primock57
pins and needles	SYMPTOM	1a	1a:primock57
swelling of lips	SYMPTOM	1a	1a:primock57
signs and symptoms	SYMPTOM	1a	1a:primock57
feeling worried	SYMPTOM	1a	1a:primock57
blotchy	SYMPTOM	1a	1a:primock57
stridor	SYMPTOM	1a	1a:primock57
doe	SYMPTOM	1a	1a:primock57
chest discomfort	SYMPTOM	1a	1a:primock57
diffuse pain	SYMPTOM	1a	1a:primock57
painful urination	SYMPTOM	1a	1a:primock57
aching muscles	SYMPTOM	1a	1a:primock57
feeling cold	SYMPTOM	1a	1a:primock57
aching	SYMPTOM	1a	1a:primock57
fatigue	SYMPTOM	1a	1a:primock57
finding	SYMPTOM	1a	1a:primock57
charming	SYMPTOM	1a	1a:primock57
difficult breathing	SYMPTOM	1a	1a:primock57
feeling dizzy	SYMPTOM	1a	1a:primock57
muscle weaknesses	SYMPTOM	1a	1a:primock57
severe headache	SYMPTOM	1a	1a:primock57
muscle ache	SYMPTOM	1a	1a:primock57
earaches	SYMPTOM	1a	1a:primock57
change in bowel habits	SYMPTOM	1a	1a:primock57
feeling poorly	SYMPTOM	1a	1a:primock57
chest pains	SYMPTOM	1a	1a:primock57
being sick	SYMPTOM	1a	1a:primock57
wheezing	SYMPTOM	1a	1a:primock57
wheezy	SYMPTOM	1a	1a:primock57
sneeze	SYMPTOM	1a	1a:primock57
ear buzzing	SYMPTOM	1a	1a:primock57
spinning	SYMPTOM	1a	1a:primock57
shallow breath	SYMPTOM	1a	1a:primock57
blotching	SYMPTOM	1a	1a:primock57
running nose	SYMPTOM	1a	1a:primock57
wheeze	SYMPTOM	1a	1a:primock57
weakness of arms	SYMPTOM	1a	1a:primock57
have headaches	SYMPTOM	1a	1a:primock57
visual symptoms	SYMPTOM	1a	1a:primock57
fatigued	SYMPTOM	1a	1a:primock57
seizure	SYMPTOM	1a	1a:primock57
shaking	SYMPTOM	1a	1a:primock57
fits	SYMPTOM	1a	1a:primock57
problems swallowing	SYMPTOM	1a	1a:primock57
light-headedness	SYMPTOM	1a	1a:primock57
light-headed	SYMPTOM	1a	1a:primock57
discomfort	SYMPTOM	1a	1a:primock57
calf pain	SYMPTOM	1a	1a:primock57
reduced appetite	SYMPTOM	1a	1a:primock57
coughs	SYMPTOM	1a	1a:primock57
pain abdominal	SYMPTOM	1a	1a:primock57
neurological symptoms	SYMPTOM	1a	1a:primock57
nausea and vomiting	SYMPTOM	1a	1a:primock57
cough worse at night	SYMPTOM	1a	1a:primock57
breathlessness	SYMPTOM	1a	1a:primock57
difficult to breathe	SYMPTOM	1a	1a:primock57
difficulty sleeping	SYMPTOM	1a	1a:primock57
feeling unwell	SYMPTOM	1a	1a:primock57
mood symptoms	SYMPTOM	1a	1a:primock57
non-productive cough	SYMPTOM	1a	1a:primock57
chest tightness	SYMPTOM	1a	1a:primock57
simple constipation	SYMPTOM	1a	1a:primock57
feeling sick	SYMPTOM	1a	1a:primock57
constipated	SYMPTOM	1a	1a:primock57
symptom	SYMPTOM	1a	1a:primock57
faint	SYMPTOM	1a	1a:primock57
ache	SYMPTOM	1a	1a:primock57
throbbing headache	SYMPTOM	1a	1a:primock57
raised temperature	SYMPTOM	1a	1a:primock57
high temperature	SYMPTOM	1a	1a:primock57
feeling fine	SYMPTOM	1a	1a:primock57
vaginal discharge	SYMPTOM	1a	1a:primock57
lower back pain	SYMPTOM	1a	1a:primock57
loin pain	SYMPTOM	1a	1a:primock57
acidity	SYMPTOM	1a	1a:primock57
heart problem	SYMPTOM	1a	1a:primock57
nervous	SYMPTOM	1a	1a:primock57
feel like vomiting	SYMPTOM	1a	1a:primock57
tummy ache	SYMPTOM	1a	1a:primock57
feel faint	SYMPTOM	1a	1a:primock57
nauseated	SYMPTOM	1a	1a:primock57
thirst	SYMPTOM	1a	1a:primock57
abdominal pains	SYMPTOM	1a	1a:primock57
vomiting diarrhoea	SYMPTOM	1a	1a:primock57
cough up blood	SYMPTOM	1a	1a:primock57
increased thirst	SYMPTOM	1a	1a:primock57
pain chest	SYMPTOM	1a	1a:primock57
nose symptoms	SYMPTOM	1a	1a:primock57
difficulty passing urine	SYMPTOM	1a	1a:primock57
other general symptoms	SYMPTOM	1a	1a:primock57
diarrhoea vomiting	SYMPTOM	1a	1a:primock57
hungry	SYMPTOM	1a	1a:primock57
constant headache	SYMPTOM	1a	1a:primock57
pain in joints	SYMPTOM	1a	1a:primock57
pain in back	SYMPTOM	1a	1a:primock57
giving way	SYMPTOM	1a	1a:primock57
tenderness	SYMPTOM	1a	1a:primock57
back pains	SYMPTOM	1a	1a:primock57
give way	SYMPTOM	1a	1a:primock57
associated symptoms	SYMPTOM	1b	1b:figshare-osce
trouble breathing	SYMPTOM	1b	1b:figshare-osce
lightheaded	SYMPTOM	1b	1b:figshare-osce
fainted	SYMPTOM	1b	1b:figshare-osce
joint tightness	SYMPTOM	1b	1b:figshare-osce
gasping for air	SYMPTOM	1b	1b:figshare-osce
frothy sputum	SYMPTOM	1b	1b:figshare-osce
pain sharp	SYMPTOM	1b	1b:figshare-osce
felt ill	SYMPTOM	1b	1b:figshare-osce
rundown	SYMPTOM	1b	1b:figshare-osce
sensation of nausea	SYMPTOM	1b	1b:figshare-osce
flu like symptoms	SYMPTOM	1b	1b:figshare-osce
muscle aches	SYMPTOM	1b	1b:figshare-osce
pain radiate	SYMPTOM	1b	1b:figshare-osce
pain aching	SYMPTOM	1b	1b:figshare-osce
indigestion	SYMPTOM	1b	1b:figshare-osce
dull pain	SYMPTOM	1b	1b:figshare-osce
digestive problems	SYMPTOM	1b	1b:figshare-osce
abdominal cramps	SYMPTOM	1b	1b:figshare-osce
fever or chills	SYMPTOM	1b	1b:figshare-osce
pain with swallowing	SYMPTOM	1b	1b:figshare-osce
loss of taste	SYMPTOM	1b	1b:figshare-osce
stomach ache	SYMPTOM	1b	1b:figshare-osce
stomach pain	SYMPTOM	1b	1b:figshare-osce
eye redness	SYMPTOM	1b	1b:figshare-osce
eye pain	SYMPTOM	1b	1b:figshare-osce
flushed	SYMPTOM	1b	1b:figshare-osce
low back pain	SYMPTOM	1b	1b:figshare-osce
