dataset	file_id	pattern	ref_words	parakeet_words	medasr_words	medasr_correct
primock57	day1_consultation01	NUMERIC	yeah six			unalignable
primock57	day1_consultation01	LATERALITY	left	yeah		unalignable
primock57	day1_consultation01	NEGATION_FLIP	um	no		unalignable
primock57	day1_consultation01	NEGATION_FLIP	uh no			unalignable
primock57	day1_consultation01	NEGATION_FLIP	no			unalignable
primock57	day1_consultation01	NEGATION_FLIP	nothing	think		unalignable
primock57	day1_consultation01	LATERALITY	um	right		unalignable
primock57	day1_consultation01	LATERALITY	fine	right		unalignable
primock57	day1_consultation01	NUMERIC	two		next two two to three days	0
primock57	day1_consultation01	NEGATION_FLIP	no			unalignable
primock57	day1_consultation02	NEGATION_FLIP	it's a bit it's not			unalignable
primock57	day1_consultation02	NEGATION_FLIP	can't			unalignable
primock57	day1_consultation02	NEGATION_FLIP	can't			unalignable
primock57	day1_consultation02	NEGATION_FLIP	cannot uh	kind of		unalignable
primock57	day1_consultation02	NUMERIC	four days ago			unalignable
primock57	day1_consultation02	NEGATION_FLIP	i cannot um	i'm kind of		unalignable
primock57	day1_consultation02	NEGATION_FLIP	cannot	of		unalignable
primock57	day1_consultation02	NEGATION_FLIP	ok	no		unalignable
primock57	day1_consultation02	NEGATION_FLIP	no	okay		unalignable
primock57	day1_consultation02	NUMERIC	thirty	31		unalignable
primock57	day1_consultation02	NUMERIC	one uh			unalignable
primock57	day1_consultation02	NEGATION_FLIP	nothing			unalignable
primock57	day1_consultation02	NEGATION_FLIP	ok ok	didn't okay		unalignable
primock57	day1_consultation02	NUMERIC	ten	10	10	0
primock57	day1_consultation03	LATERALITY	left	left-hand		unalignable
primock57	day1_consultation03	NEGATION_FLIP	why don't we			unalignable
primock57	day1_consultation03	LATERALITY	left			unalignable
primock57	day1_consultation03	NEGATION_FLIP	yes no			unalignable
primock57	day1_consultation03	NEGATION_FLIP	nothing			unalignable
primock57	day1_consultation03	NEGATION_FLIP	no	okay		unalignable
primock57	day1_consultation03	NEGATION_FLIP	no			unalignable
primock57	day1_consultation03	NEGATION_FLIP	no	okay		unalignable
primock57	day1_consultation03	NEGATION_FLIP	no ok alright	okay all right		unalignable
primock57	day1_consultation03	LATERALITY	right			unalignable
primock57	day1_consultation04	NUMERIC	or two	of the		unalignable
primock57	day1_consultation04	NEGATION_FLIP	you didn't			unalignable
primock57	day1_consultation04	NUMERIC	first	sweats		unalignable
primock57	day1_consultation04	NEGATION_FLIP	no			unalignable
primock57	day1_consultation04	NEGATION_FLIP	no			unalignable
primock57	day1_consultation04	NEGATION_FLIP	yes no			unalignable
primock57	day1_consultation04	NEGATION_FLIP	they're not			unalignable
primock57	day1_consultation04	NEGATION_FLIP	no			unalignable
primock57	day1_consultation04	NEGATION_FLIP	no			unalignable
primock57	day1_consultation04	NUMERIC	type two			unalignable
primock57	day1_consultation04	NEGATION_FLIP	you	no		unalignable
primock57	day1_consultation04	NEGATION_FLIP	not			unalignable
primock57	day1_consultation04	NEGATION_FLIP	no			unalignable
primock57	day1_consultation05	NEGATION_FLIP	no	okay		unalignable
primock57	day1_consultation05	NEGATION_FLIP	i've never			unalignable
primock57	day1_consultation05	NEGATION_FLIP	not that			unalignable
primock57	day1_consultation05	NEGATION_FLIP	no ok alright	okay all right		unalignable
primock57	day1_consultation05	NEGATION_FLIP	no			unalignable
primock57	day1_consultation05	NEGATION_FLIP	no	okay		unalignable
primock57	day1_consultation05	NEGATION_FLIP	no ok alright	okay all right		unalignable
primock57	day1_consultation05	NUMERIC	it's it's	one we		unalignable
primock57	day1_consultation06	LATERALITY	right	okay		unalignable
primock57	day1_consultation06	NEGATION_FLIP	uh bisoprolol the	not prol that		unalignable
primock57	day1_consultation06	NEGATION_FLIP	uh bisoprolol	not prolol		unalignable
primock57	day1_consultation06	NUMERIC	a thousand ok alright	simbastatin okay all right		unalignable
primock57	day1_consultation06	NEGATION_FLIP	no	okay		unalignable
primock57	day1_consultation06	NUMERIC	sixties	60s		unalignable
primock57	day1_consultation06	NUMERIC	sixties ok	60s okay		unalignable
primock57	day1_consultation06	NEGATION_FLIP	no uh			unalignable
primock57	day1_consultation06	NUMERIC	twenty	25		unalignable
primock57	day1_consultation06	NUMERIC	five			unalignable
primock57	day1_consultation06	NEGATION_FLIP	i don't			unalignable
primock57	day1_consultation06	NEGATION_FLIP	and	no		unalignable
primock57	day1_consultation07	LATERALITY	right	but		unalignable
primock57	day1_consultation07	NEGATION_FLIP	my wife's	no bike's		unalignable
primock57	day1_consultation07	NEGATION_FLIP	no um and uh any other symptoms	there it seems like it's definitely trouble		unalignable
primock57	day1_consultation07	LATERALITY	right			unalignable
primock57	day1_consultation07	NEGATION_FLIP	nothing table um			unalignable
primock57	day1_consultation07	NEGATION_FLIP	not not			unalignable
primock57	day1_consultation07	LATERALITY	right aye			unalignable
primock57	day1_consultation07	LATERALITY	ah right yeah uh			unalignable
primock57	day1_consultation07	NEGATION_FLIP	haven't			unalignable
primock57	day1_consultation07	NUMERIC	fit	50		unalignable
primock57	day1_consultation07	NUMERIC	i'm i'm fifty			unalignable
primock57	day1_consultation07	NEGATION_FLIP	uh	no		unalignable
primock57	day1_consultation07	NEGATION_FLIP	it's not			unalignable
primock57	day1_consultation07	NEGATION_FLIP	no ok	okay okay		unalignable
primock57	day1_consultation07	NEGATION_FLIP	it's it's not it's not			unalignable
primock57	day1_consultation07	NEGATION_FLIP	no	okay		unalignable
