dataset	file_id	error_type	ref_words	hyp_words	fused_words	primary_category	all_categories	fusion_changed_position	fusion_fixed_position	likely_meaning_change	meaning_change_reason
primock57	day1_consultation01	substitute	um	shall	shall	filler	filler	0	0	1	unclassified
primock57	day1_consultation01	delete	should			generic		0	0	0	True
primock57	day1_consultation01	substitute	start	stop	stop	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	hello how um			generic		0	0	0	True
primock57	day1_consultation01	substitute	sir	so	so	generic		0	0	1	unclassified
primock57	day1_consultation01	substitute	hello	hi	hi	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	how are you oh hey um			generic		0	0	0	True
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	and			generic		0	0	0	True
primock57	day1_consultation01	substitute	what'd	do	do	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	in			generic		0	0	0	True
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	or			generic		0	0	0	True
primock57	day1_consultation01	delete	yeah six			generic		0	0	0	True
primock57	day1_consultation01	substitute	mention it's	mentioned this	mentioned this	generic		0	0	1	unclassified
primock57	day1_consultation01	substitute	yep so	it's like	it's like	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	substitute	left	yeah	yeah	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	substitute	is the	there's a	there's a	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	that is			generic		0	0	0	True
primock57	day1_consultation01	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	come and go			FINDING	FINDING	0	0	0	True
primock57	day1_consultation01	substitute	the	a	a	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	substitute	maybe	mainly	mainly	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	uh have you been feeling			generic		0	0	0	True
primock57	day1_consultation01	delete	um yeah			generic		0	0	0	True
primock57	day1_consultation01	delete	--			generic		0	0	0	True
primock57	day1_consultation01	substitute	it	i	i	generic		0	0	1	unclassified
primock57	day1_consultation01	substitute	makes	mainly	mainly	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	me			generic		0	0	0	True
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	uh i			generic		0	0	0	True
primock57	day1_consultation01	substitute	mention	measure	measure	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	and y'know			generic		0	0	0	True
primock57	day1_consultation01	substitute	um	no	no	filler	filler	0	0	1	unclassified
primock57	day1_consultation01	delete	night sweats			SYMPTOM	SYMPTOM	0	0	0	True
primock57	day1_consultation01	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	uh no			generic		0	0	0	True
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	yeah yeah just normal vomit yeah			SYMPTOM	FINDING,SYMPTOM	0	0	0	True
primock57	day1_consultation01	delete	no			generic		0	0	0	True
primock57	day1_consultation01	delete	yeah			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	any			generic		0	0	0	True
primock57	day1_consultation01	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	yep um			generic		0	0	0	True
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
