file_id	term	category	length	parakeet_sub	ref_context
CAR0001	strokes	CONDITION	1	<DELETED>	a stroke no strokes ok and then
CAR0001	history	FINDING	1	<DELETED>	i on on history no i dont
CAR0001	stroke	CONDITION	1	<DELETED>	family have a stroke no strokes ok
CAR0001	else	FINDING	1	<DELETED>	is there anything else that you wanted
CAR0001	cancers	CONDITION	1	<DELETED>	and then any cancers in the family
CAR0002	multi vitamin	DRUG	2	multivitamin okay	i take a multi vitamin ok and do
CAR0002	rosuvastatin	DRUG	1	rizubastatin	pressure and cholesterol rosuvastatin and um lisinopril
CAR0002	lisinopril	DRUG	1	<DELETED>	rosuvastatin and um lisinopril and i take
CAR0002	marijuana	CONDITION	1	<DELETED>	recreational drugs like marijuana um no marijuana
CAR0002	marijuana	CONDITION	1	<DELETED>	marijuana um no marijuana but i have
CAR0002	usually	FINDING	1	<DELETED>	just regularly uhh usually i feel like
CAR0002	crystal	DRUG	1	<DELETED>	i have used crystal meth in the
CAR0002	crystal	DRUG	1	<DELETED>	that you used crystal meth um six
CAR0002	crystal	DRUG	1	<DELETED>	do you use crystal meth um i
CAR0002	crystal	DRUG	1	<DELETED>	you been using crystal meth uh for
CAR0002	drugs	PROCEDURE	1	<DELETED>	and any recreational drugs like marijuana um
CAR0002	times	CONDITION	1	<DELETED>	a couple of times a month a
CAR0002	times	CONDITION	1	<DELETED>	a couple of times a month ok
CAR0002	meth	DRUG	1	<DELETED>	have used crystal meth in the past
CAR0002	meth	DRUG	1	<DELETED>	you used crystal meth um six days
CAR0002	meth	DRUG	1	<DELETED>	you use crystal meth um i would
CAR0002	meth	DRUG	1	<DELETED>	been using crystal meth uh for the
CAR0002	ill	SYMPTOM	1	i'll	usually on sundays ill go for a
CAR0002	couple	FINDING	1	<DELETED>	would say a couple of times a
CAR0002	couple	FINDING	1	<DELETED>	a month a couple of times a
CAR0002	tight tightness	SYMPTOM	2	<DELETED>	a sharp or tight tightness kind of pain
CAR0003	simvastatin	DRUG	1	simastatin okay	aspirin ramipril and simvastatin ok and have
CAR0003	ramipril	DRUG	1	ramapro	i take aspirin ramipril and simvastatin ok
CAR0003	swelling	CONDITION	1	swallow	about from your swelling as well as
CAR0003	lasix	DRUG	1	lasics	on something like lasix or a diuretic
CAR0004	recreational drug use	CONDITION	3	<DELETED>	ok and any recreational drug use like marijuana or
CAR0004	nausea or vomiting	FINDING	3	all your	havent any headaches nausea or vomiting fevers or chills
CAR0004	marijuana	CONDITION	1	<DELETED>	drug use like marijuana or cocaine no
CAR0004	difficult	FINDING	1	<DELETED>	must be really difficult and scary for
CAR0004	too much	FINDING	2	<DELETED>	not to worry too much about it right
CAR0004	tylenol	DRUG	1	thylanol	i took some tylenol and that did
CAR0004	tylenol	DRUG	1	dylanol okay	i sometimes take tylenol ok and any
CAR0004	cocaine	PROCEDURE	1	<DELETED>	like marijuana or cocaine no and do
CAR0004	heart	CONDITION	1	<DELETED>	see how your heart is functioning and
CAR0004	worry	FINDING	1	<DELETED>	try not to worry too much about
CAR0004	tests	PROCEDURE	1	<DELETED>	some of those tests come back thank
CAR0004	back	ANATOMY	1	<DELETED>	those tests come back thank you so
CAR0004	ill	SYMPTOM	1	i'll	questions and then ill just get to
