term	category	first_tier	first_source
conservative management	PROCEDURE	1a	1a:primock57
three or four days	FINDING	1a	1a:primock57
vomiting diarrhea	SYMPTOM	1a	1a:primock57
feeling feverish	SYMPTOM	1a	1a:primock57
loss of appetite	CONDITION	1a	1a:primock57
gastroenteritis	CONDITION	1a	1a:primock57
muscular cramp	SYMPTOM	1a	1a:primock57
other symptoms	SYMPTOM	1a	1a:primock57
overall health	FINDING	1a	1a:primock57
bowel problems	FINDING	1a	1a:primock57
something else	FINDING	1a	1a:primock57
lower abdomen	ANATOMY	1a	1a:primock57
time off work	FINDING	1a	1a:primock57
watery stool	SYMPTOM	1a	1a:primock57
other things	FINDING	1a	1a:primock57
night sweats	SYMPTOM	1a	1a:primock57
fit and well	FINDING	1a	1a:primock57
quite often	FINDING	1a	1a:primock57
no blood	FINDING	1a	1a:primock57
come and go	FINDING	1a	1a:primock57
temperature	PROCEDURE	1a	1a:primock57
medications	DRUG	1a	1a:primock57
antibiotics	DRUG	1a	1a:primock57
paracetamol	PROCEDURE	1a	1a:primock57
activities	FINDING	1a	1a:primock57
controlled	FINDING	1a	1a:primock57
difficult	FINDING	1a	1a:primock57
lethargic	SYMPTOM	1a	1a:primock57
dioralyte	DRUG	1a	1a:primock57
diarrhea	FINDING	1a	1a:primock57
symptoms	SYMPTOM	1a	1a:primock57
sweating	FINDING	1a	1a:primock57
vomiting	SYMPTOM	1a	1a:primock57
hydrated	DRUG	1a	1a:primock57
vitamins	DRUG	1a	1a:primock57
stomach	CONDITION	1a	1a:primock57
vomited	SYMPTOM	1a	1a:primock57
control	DRUG	1a	1a:primock57
toilet	PROCEDURE	1a	1a:primock57
normal	FINDING	1a	1a:primock57
fluids	PROCEDURE	1a	1a:primock57
liquid	PROCEDURE	1a	1a:primock57
unwell	SYMPTOM	1a	1a:primock57
asthma	CONDITION	1a	1a:primock57
close	FINDING	1a	1a:primock57
lower	ANATOMY	1a	1a:primock57
times	CONDITION	1a	1a:primock57
cramp	SYMPTOM	1a	1a:primock57
shaky	FINDING	1a	1a:primock57
fever	FINDING	1a	1a:primock57
vomit	SYMPTOM	1a	1a:primock57
light	PROCEDURE	1a	1a:primock57
recap	DRUG	1a	1a:primock57
admit	PROCEDURE	1a	1a:primock57
tests	PROCEDURE	1a	1a:primock57
else	FINDING	1a	1a:primock57
back	ANATOMY	1a	1a:primock57
food	DRUG	1a	1a:primock57
able	FINDING	1a	1a:primock57
life	PROCEDURE	1a	1a:primock57
hand	FINDING	1a	1a:primock57
best	CONDITION	1a	1a:primock57
ate	CONDITION	1a	1a:primock57
hmm	DRUG	1a	1a:primock57
infections	CONDITION	1a	1a:primock57
problem	FINDING	1a	1a:primock57
problem:	PROCEDURE	1a	1a:primock57
mexamine	DRUG	1a	1a:primock57
couplet	FINDING	1a	1a:primock57
face left side	ANATOMY	1a	1a:primock57
right alare	ANATOMY	1a	1a:primock57
headache one side	SYMPTOM	1a	1a:primock57
breathing difficulties	SYMPTOM	1a	1a:primock57
pharmaceutical	DRUG	1a	1a:primock57
no problem	FINDING	1a	1a:primock57
arms and legs	ANATOMY	1a	1a:primock57
other medical	FINDING	1a	1a:primock57
cracked skin	FINDING	1a	1a:primock57
fexofenadine	DRUG	1a	1a:primock57
didn't help	FINDING	1a	1a:primock57
comfortable	FINDING	1a	1a:primock57
prescribed	PROCEDURE	1a	1a:primock57
itchy skin	SYMPTOM	1a	1a:primock57
definitely	FINDING	1a	1a:primock57
loratadine	DRUG	1a	1a:primock57
discussion	PROCEDURE	1a	1a:primock57
itchiness	FINDING	1a	1a:primock57
sore skin	SYMPTOM	1a	1a:primock57
allergies	CONDITION	1a	1a:primock57
prescribe	PROCEDURE	1a	1a:primock57
very much	FINDING	1a	1a:primock57
red skin	CONDITION	1a	1a:primock57
bleeding	CONDITION	1a	1a:primock57
not sure	FINDING	1a	1a:primock57
dry skin	CONDITION	1a	1a:primock57
itching	SYMPTOM	1a	1a:primock57
disease	CONDITION	1a	1a:primock57
steroid	DRUG	1a	1a:primock57
painful	SYMPTOM	1a	1a:primock57
cracked	FINDING	1a	1a:primock57
piriton	DRUG	1a	1a:primock57
eczema	CONDITION	1a	1a:primock57
hiking	FINDING	1a	1a:primock57
change	PROCEDURE	1a	1a:primock57
fevers	SYMPTOM	1a	1a:primock57
bowels	ANATOMY	1a	1a:primock57
living	FINDING	1a	1a:primock57
affect	PROCEDURE	1a	1a:primock57
itchy	SYMPTOM	1a	1a:primock57
chest	FINDING	1a	1a:primock57
hands	ANATOMY	1a	1a:primock57
sleep	DRUG	1a	1a:primock57
cream	DRUG	1a	1a:primock57
cough	DRUG	1a	1a:primock57
flare	FINDING	1a	1a:primock57
basis	DRUG	1a	1a:primock57
sore	SYMPTOM	1a	1a:primock57
skin	CONDITION	1a	1a:primock57
arms	CONDITION	1a	1a:primock57
body	ANATOMY	1a	1a:primock57
face	ANATOMY	1a	1a:primock57
rash	SYMPTOM	1a	1a:primock57
bath	PROCEDURE	1a	1a:primock57
arm	ANATOMY	1a	1a:primock57
far	PROCEDURE	1a	1a:primock57
antihistamine	DRUG	1a	1a:primock57
underactive thyroid	CONDITION	1a	1a:primock57
anti-inflammatories	DRUG	1a	1a:primock57
wearing sunglasses	FINDING	1a	1a:primock57
no problems	FINDING	1a	1a:primock57
nausea vomiting	SYMPTOM	1a	1a:primock57
vision blurred	FINDING	1a	1a:primock57
other problems	FINDING	1a	1a:primock57
days off work	FINDING	1a	1a:primock57
head or neck	ANATOMY	1a	1a:primock57
brain cancer	CONDITION	1a	1a:primock57
back to work	FINDING	1a	1a:primock57
brain tumour	CONDITION	1a	1a:primock57
difficulties	FINDING	1a	1a:primock57
brain tumor	CONDITION	1a	1a:primock57
skin rashes	SYMPTOM	1a	1a:primock57
painkillers	DRUG	1a	1a:primock57
examination	PROCEDURE	1a	1a:primock57
sensitivity	CONDITION	1a	1a:primock57
don't know	FINDING	1a	1a:primock57
sharp pain	SYMPTOM	1a	1a:primock57
difficulty	FINDING	1a	1a:primock57
breathless	SYMPTOM	1a	1a:primock57
microgynon	DRUG	1a	1a:primock57
meningitis	CONDITION	1a	1a:primock57
co-codamol	DRUG	1a	1a:primock57
left hand	ANATOMY	1a	1a:primock57
headaches	SYMPTOM	1a	1a:primock57
migraines	CONDITION	1a	1a:primock57
diagnosed	PROCEDURE	1a	1a:primock57
ibuprofen	DRUG	1a	1a:primock57
medicines	DRUG	1a	1a:primock57
neck pain	SYMPTOM	1a	1a:primock57
headache	SYMPTOM	1a	1a:primock57
left eye	PROCEDURE	1a	1a:primock57
nauseous	SYMPTOM	1a	1a:primock57
feverish	SYMPTOM	1a	1a:primock57
numbness	FINDING	1a	1a:primock57
weakness	SYMPTOM	1a	1a:primock57
stressed	FINDING	1a	1a:primock57
exercise	PROCEDURE	1a	1a:primock57
migraine	CONDITION	1a	1a:primock57
naproxen	DRUG	1a	1a:primock57
possible	FINDING	1a	1a:primock57
worried	FINDING	1a	1a:primock57
worries	FINDING	1a	1a:primock57
history	FINDING	1a	1a:primock57
related	FINDING	1a	1a:primock57
thyroid	CONDITION	1a	1a:primock57
deliver	DRUG	1a	1a:primock57
serious	FINDING	1a	1a:primock57
options	FINDING	1a	1a:primock57
cancer	CONDITION	1a	1a:primock57
bright	FINDING	1a	1a:primock57
speech	PROCEDURE	1a	1a:primock57
stress	FINDING	1a	1a:primock57
coping	PROCEDURE	1a	1a:primock57
worry	FINDING	1a	1a:primock57
brain	CONDITION	1a	1a:primock57
neck	FINDING	1a	1a:primock57
sign	FINDING	1a	1a:primock57
chat	DRUG	1a	1a:primock57
sick	SYMPTOM	1a	1a:primock57
head	ANATOMY	1a	1a:primock57
fall	FINDING	1a	1a:primock57
pill	DRUG	1a	1a:primock57
hope	FINDING	1a	1a:primock57
ill	SYMPTOM	1a	1a:primock57
poor coordination	FINDING	1a	1a:primock57
contraception;f	PROCEDURE	1a	1a:primock57
blights	CONDITION	1a	1a:primock57
respiratory tract infection	CONDITION	1a	1a:primock57
nausea or vomiting	FINDING	1a	1a:primock57
difficulty breathing	SYMPTOM	1a	1a:primock57
muscle pain weakness	SYMPTOM	1a	1a:primock57
pain on swallowing	SYMPTOM	1a	1a:primock57
one or two days	FINDING	1a	1a:primock57
short of breath	SYMPTOM	1a	1a:primock57
social history	FINDING	1a	1a:primock57
pain in chest	SYMPTOM	1a	1a:primock57
viral illness	CONDITION	1a	1a:primock57
well-hydrated	FINDING	1a	1a:primock57
kindergarten	FINDING	1a	1a:primock57
sore throat	CONDITION	1a	1a:primock57
muscle pain	SYMPTOM	1a	1a:primock57
runny nose	SYMPTOM	1a	1a:primock57
high fever	FINDING	1a	1a:primock57
chest pain	SYMPTOM	1a	1a:primock57
dry cough	DRUG	1a	1a:primock57
sneezing	SYMPTOM	1a	1a:primock57
catching	SYMPTOM	1a	1a:primock57
abnormal	FINDING	1a	1a:primock57
diabetes	CONDITION	1a	1a:primock57
redness	CONDITION	1a	1a:primock57
blocked	FINDING	1a	1a:primock57
general	PROCEDURE	1a	1a:primock57
usually	FINDING	1a	1a:primock57
anxiety	CONDITION	1a	1a:primock57
drinker	FINDING	1a	1a:primock57
pushing	FINDING	1a	1a:primock57
labored	FINDING	1a	1a:primock57
throat	ANATOMY	1a	1a:primock57
uneasy	FINDING	1a	1a:primock57
winded	FINDING	1a	1a:primock57
rashes	SYMPTOM	1a	1a:primock57
tired	SYMPTOM	1a	1a:primock57
spots	SYMPTOM	1a	1a:primock57
aches	SYMPTOM	1a	1a:primock57
alone	FINDING	1a	1a:primock57
signs	FINDING	1a	1a:primock57
mine	PROCEDURE	1a	1a:primock57
nose	CONDITION	1a	1a:primock57
ears	ANATOMY	1a	1a:primock57
dry	SYMPTOM	1a	1a:primock57
odd	CONDITION	1a	1a:primock57
run	FINDING	1a	1a:primock57
flu	CONDITION	1a	1a:primock57
swallows	FINDING	1a	1a:primock57
settle	CONDITION	1a	1a:primock57
surgical history	FINDING	1a	1a:primock57
other medication	DRUG	1a	1a:primock57
more than normal	FINDING	1a	1a:primock57
sexually active	FINDING	1a	1a:primock57
hot and sweaty	FINDING	1a	1a:primock57
barrier method	PROCEDURE	1a	1a:primock57
belly button	ANATOMY	1a	1a:primock57
burning pain	SYMPTOM	1a	1a:primock57
constipation	SYMPTOM	1a	1a:primock57
loose stools	SYMPTOM	1a	1a:primock57
palpitations	FINDING	1a	1a:primock57
trimethoprim	DRUG	1a	1a:primock57
no vomiting	FINDING	1a	1a:primock57
just right	FINDING	1a	1a:primock57
pink urine	FINDING	1a	1a:primock57
screening	FINDING	1a	1a:primock57
pregnancy	FINDING	1a	1a:primock57
worsening	FINDING	1a	1a:primock57
cranberry	DRUG	1a	1a:primock57
implanon	DRUG	1a	1a:primock57
inserted	PROCEDURE	1a	1a:primock57
pregnant	FINDING	1a	1a:primock57
surgical	PROCEDURE	1a	1a:primock57
worrying	FINDING	1a	1a:primock57
confirm	FINDING	1a	1a:primock57
medical	PROCEDURE	1a	1a:primock57
missing	FINDING	1a	1a:primock57
rhythms	FINDING	1a	1a:primock57
screen	PROCEDURE	1a	1a:primock57
mates	DRUG	1a	1a:primock57
hurt	FINDING	1a	1a:primock57
std	CONDITION	1a	1a:primock57
gut	ANATOMY	1a	1a:primock57
rinstead	DRUG	1a	1a:primock57
tinging	DRUG	1a	1a:primock57
past medical history	FINDING	1a	1a:primock57
quite troublesome	FINDING	1a	1a:primock57
skipped heartbeat	FINDING	1a	1a:primock57
full blood count	PROCEDURE	1a	1a:primock57
catch my breath	PROCEDURE	1a	1a:primock57
general health	FINDING	1a	1a:primock57
can't remember	FINDING	1a	1a:primock57
heart problems	SYMPTOM	1a	1a:primock57
very important	FINDING	1a	1a:primock57
blood pressure	PROCEDURE	1a	1a:primock57
echocardiogram	PROCEDURE	1a	1a:primock57
heart failure	CONDITION	1a	1a:primock57
lung problems	FINDING	1a	1a:primock57
consideration	FINDING	1a	1a:primock57
heart attack	CONDITION	1a	1a:primock57
osteoporosis	FINDING	1a	1a:primock57
pretty clear	FINDING	1a	1a:primock57
furosemide	DRUG	1a	1a:primock57
bisoprolol	DRUG	1a	1a:primock57
metoprolol	DRUG	1a	1a:primock57
blood test	PROCEDURE	1a	1a:primock57
reporting	PROCEDURE	1a	1a:primock57
dizziness	SYMPTOM	1a	1a:primock57
medicine	DRUG	1a	1a:primock57
