term	category	first_tier	first_source
three or four days	FINDING	1a	1a:primock57
overall health	FINDING	1a	1a:primock57
bowel problems	FINDING	1a	1a:primock57
something else	FINDING	1a	1a:primock57
time off work	FINDING	1a	1a:primock57
other things	FINDING	1a	1a:primock57
fit and well	FINDING	1a	1a:primock57
quite often	FINDING	1a	1a:primock57
no blood	FINDING	1a	1a:primock57
come and go	FINDING	1a	1a:primock57
activities	FINDING	1a	1a:primock57
controlled	FINDING	1a	1a:primock57
difficult	FINDING	1a	1a:primock57
diarrhea	FINDING	1a	1a:primock57
sweating	FINDING	1a	1a:primock57
normal	FINDING	1a	1a:primock57
close	FINDING	1a	1a:primock57
shaky	FINDING	1a	1a:primock57
fever	FINDING	1a	1a:primock57
else	FINDING	1a	1a:primock57
able	FINDING	1a	1a:primock57
hand	FINDING	1a	1a:primock57
problem	FINDING	1a	1a:primock57
couplet	FINDING	1a	1a:primock57
no problem	FINDING	1a	1a:primock57
other medical	FINDING	1a	1a:primock57
cracked skin	FINDING	1a	1a:primock57
didn't help	FINDING	1a	1a:primock57
comfortable	FINDING	1a	1a:primock57
definitely	FINDING	1a	1a:primock57
itchiness	FINDING	1a	1a:primock57
very much	FINDING	1a	1a:primock57
not sure	FINDING	1a	1a:primock57
cracked	FINDING	1a	1a:primock57
hiking	FINDING	1a	1a:primock57
living	FINDING	1a	1a:primock57
chest	FINDING	1a	1a:primock57
flare	FINDING	1a	1a:primock57
wearing sunglasses	FINDING	1a	1a:primock57
no problems	FINDING	1a	1a:primock57
vision blurred	FINDING	1a	1a:primock57
other problems	FINDING	1a	1a:primock57
days off work	FINDING	1a	1a:primock57
back to work	FINDING	1a	1a:primock57
difficulties	FINDING	1a	1a:primock57
don't know	FINDING	1a	1a:primock57
difficulty	FINDING	1a	1a:primock57
numbness	FINDING	1a	1a:primock57
stressed	FINDING	1a	1a:primock57
possible	FINDING	1a	1a:primock57
worried	FINDING	1a	1a:primock57
worries	FINDING	1a	1a:primock57
history	FINDING	1a	1a:primock57
related	FINDING	1a	1a:primock57
serious	FINDING	1a	1a:primock57
options	FINDING	1a	1a:primock57
