seed	in_clincalc	in_pdfs_count
3350	1	0
abacavir	0	1
abilify	0	0
acetaminophen	1	3
acetate	0	1
acetylcysteine	0	1
acid	1	0
acidophilus	1	0
acyclovir	1	1
adalimumab	1	0
adderall	0	1
adjuvant	0	1
adrenalin	0	1
adrenaline	0	2
adrenergic	0	2
advair	0	0
advil	0	1
afrin	0	1
albendazole	0	2
albuterol	1	2
aldactone	0	0
alendronate	1	0
alert	0	3
aleve	0	0
align	0	1
allergen	0	2
allopurinol	1	0
alprazolam	1	0
altace	0	0
amaryl	0	1
ambien	0	0
amidate	0	1
amiodarone	1	0
amitriptyline	1	0
amlodipine	1	1
amlodipine atorvastatin	0	0
amlodipine olmesartan hydrochlorothiazide	0	0
amlodipine valsartan	0	0
amodiaquine	0	2
amoxicillin	1	2
amoxicillin clavulanate	0	0
amoxicillin-clavulanate	0	1
amoxil	0	0
amphetamine aspartate	1	0
amphotericin	0	2
ampicillin	0	2
ampicillin-sulbactam	0	1
amylase	1	0
anastrozole	1	0
ancef	0	1
anectine	0	1
anti-emetics	0	1
anti-inflammatory	0	1
antibody	0	1
anticholinesterases	0	1
antidote	0	2
antihelminthic	0	1
antiinflammatory	0	2
antiprotozoal	0	1
antiretroviral	0	2
antitoxin	0	1
antivenom	0	2
apixaban	1	1
aripiprazole	1	0
artemether	0	2
artesunate	0	2
ascorbic	1	0
ascorbic acid	1	0
asenapine	0	0
aspart	1	0
aspartate	1	0
aspirin	1	3
atazanavir	0	1
atenolol	1	1
ativan	0	0
atomoxetine	1	0
atorvastatin	1	0
atropen	0	1
atropine	1	3
atrovent	0	1
augmentin	0	0
avapro	0	0
azelastine	1	0
azithromycin	1	2
baclofen	1	0
bactrim	0	0
baqsimi	0	1
beclomethasone	0	0
benadryl	0	1
benazepril	1	0
benicar	0	0
benzonatate	1	0
benzylpenicillin	0	1
betadine	0	1
betamethasone	1	0
bicarb	0	1
bimatoprost	1	0
bisacodyl	1	0
bisoprolol	1	0
blow	0	1
boston	0	1
breo	0	0
brexpiprazole	0	0
brilinta	0	1
brimonidine	1	0
brintellix	0	0
brompheniramine	1	0
budesonide	1	1
budesonide formoterol	0	0
bumetanide	1	0
bupivacaine	0	1
bupropion	1	0
burn	0	2
buspar	0	0
buspirone	1	0
butalbital	1	0
caduet	0	0
caffeine	1	0
calcitriol	1	0
calcium	1	3
calcium phosphate	1	0
canagliflozin	0	0
capoten	0	0
captopril	0	1
carbamates	0	2
carbamazepine	1	0
carbaryl	0	1
cardizem	0	0
cariprazine	0	0
carvedilol	1	1
castor	0	1
catecholamine	0	1
cefalexin	0	1
cefazolin	0	1
cefdinir	1	0
cefixime	0	1
cefotaxime	0	2
ceftriaxone	0	3
cefuroxime	1	0
celebrex	0	0
celecoxib	1	0
celexa	0	0
cephalexin	1	0
cetirizine	1	0
charcoal	0	3
chlordiazepoxide	0	0
chlorhexidine	1	2
chloroquine	0	1
chlorphenamine	0	1
chlorthalidone	1	0
cholecalciferol	1	0
cialis	0	1
ciclopirox	1	0
cipro	0	1
ciprofloxacin	1	2
citalopram	1	0
clarithromycin	0	1
claritin	0	0
clavulanate	1	1
clindamycin	1	2
clobetasol	1	0
clonazepam	1	0
clonidine	1	1
clopidogrel	1	2
clot	0	2
clotrimazole	1	1
cloxacillin	0	2
co-trimoxazole	0	2
coartem	0	1
coconut	0	1
codeine	1	2
colchicine	1	0
comforting	0	1
concerta	0	0
conzip	0	0
coreg	0	0
corrective	0	1
cortisporin	0	1
cotrimoxazole	0	2
cotton	0	2
coumadin	0	1
cozaar	0	0
crestor	0	0
cyanocobalamin	1	1
cyanokit	0	1
cyclobenzaprine	1	0
cyclosporine	1	0
cymbalta	0	0
cyproheptadine	1	0
cytotoxic	0	1
dabigatran	0	1
dapagliflozin	1	0
dapsone	0	2
darvocet	0	0
decadron	0	1
degludec	1	0
deliver	0	2
deltasone	0	0
demerol	0	1
denosumab	0	0
deoxycholate	0	1
depakote	0	0
desogestrel	1	0
desvenlafaxine	1	0
desyrel	0	0
detemir	1	0
dexamethasone	1	3
dexmethylphenidate	1	0
dextran	0	1
dextroamphetamine	1	0
dextroamphetamine saccharate	1	0
dextromethorphan	1	0
diazepam	1	2
diclofenac	1	0
dicloxacillin	0	1
dicyclomine	1	0
didanosine	0	1
diflucan	0	0
dihydroartemisinin	0	2
dilaudid	0	0
diloxanide	0	1
diltiazem	1	0
diovan	0	0
diphenhydramine	1	2
diphenoxylate	1	0
diprivan	0	1
dipyrone	0	1
dobutamine	0	2
docusate	1	0
donepezil	1	0
dopa	0	1
dopamine	0	3
dorzolamide	1	0
doxazosin	1	0
doxepin	1	0
doxycycline	1	1
drospirenone	1	0
dulaglutide	1	0
dulera	0	0
duloxetine	1	0
duodote	0	1
duragesic	0	0
dutasteride	1	0
effexor	0	0
effient	0	1
eliquis	0	1
emetic	0	1
empagliflozin	1	0
emtricitabine	1	1
enalapril	1	1
enoxaparin	0	2
enzymes	0	1
epinephrine	1	2
epipen	0	1
ergocalciferol	1	0
ergot	0	1
erythromycin	1	0
escitalopram	1	0
eskalith	0	0
esmolol	0	1
esomeprazole	1	0
esters	1	0
estradiol	1	0
eszopiclone	0	0
ethambutol	0	2
ethinyl	1	0
ethinyl estradiol	1	0
ethyl	1	0
etodolac	1	0
etoh	0	2
etomidate	0	1
etonogestrel	1	0
evolocumab	1	0
exforge	0	0
ezetimibe	1	0
famotidine	1	0
farxiga	0	0
fenofibrate	1	0
fentanyl	0	0
fentora	0	0
ferrous	1	0
ferrous sulfate	1	0
fexofenadine	1	0
finasteride	1	0
flagyl	0	0
flecainide	1	0
flexeril	0	0
flomax	0	0
flonase	0	0
flovent	0	0
flucloxacillin	0	2
fluconazole	1	2
flucytosine	0	1
flumazenil	0	1
fluoride	1	0
fluorouracil	1	0
fluoxetine	1	0
fluticasone	1	0
fluticasone salmeterol	0	0
fluticasone umeclidinium vilanterol	0	0
fluticasone vilanterol	0	0
fluvoxamine	0	0
focalin	0	0
folic	1	0
folic acid	1	0
formoterol	1	0
forteo	0	0
fosamax	0	0
foscarnet	0	1
frusemide	0	1
fumarate	0	1
furazolidone	0	1
furosemide	1	3
gaba	0	1
gabapentin	1	0
ganciclovir	0	1
gatifloxacin	0	1
generic	0	2
gentian	0	2
geodon	0	0
glargine	1	0
glimepiride	1	1
glipizide	1	1
glucagen	0	1
glucagon	0	1
gluconate	0	2
glucophage	0	0
glucotrol	0	1
glyburide	0	1
glycol	1	0
guaifenesin	1	0
guanfacine	1	0
halcion	0	0
haldol	0	1
hank	0	1
hctz	0	1
hemoglobin	0	1
hemostatic	0	1
heparin	0	2
hepb	0	1
hetastarch	0	1
hormone	0	2
human	1	0
hydralazine	1	1
hydrochlorothiazide	1	1
hydrocodone	1	0
hydrocortisone	1	0
hydromorphone	0	1
hydroquinone	1	0
hydroxocobalamin	0	1
hydroxychloroquine	1	0
hydroxyurea	0	1
hydroxyzine	1	0
hypoglycaemic	0	1
hypoglycemic	0	2
ibuprofen	1	3
icosapent	1	0
icosapent ethyl	1	0
imitrex	0	0
inderal	0	0
indomethacin	1	0
influenza	0	1
inotropes	0	1
insulin	1	2
insulin aspart	1	0
insulin degludec	1	0
insulin detemir	1	0
insulin glargine	1	0
insulin human	1	0
insulin isophane human	1	0
insulin lispro	1	0
intropin	0	1
invega	0	0
invokana	0	0
iodine	0	2
iodoquinol	0	1
ipecac	0	2
ipecacuanha	0	1
ipratropium	1	2
irbesartan	1	0
isoniazid	0	2
isophane	1	0
isosorbide	1	0
ivermectin	1	0
janumet	0	0
januvia	0	0
jardiance	0	0
kanamycin	0	1
keflex	0	0
keppra	0	1
ketalar	0	1
ketamine	0	2
ketoconazole	1	0
ketorolac	1	1
ketotifen	1	0
klonopin	0	0
labetalol	1	1
lactate	1	0
lactobacillus	1	0
lactobacillus acidophilus	1	0
lactulose	1	1
lamictal	0	0
lamisil	0	0
lamivudine	0	1
lamotrigine	1	0
lasix	0	2
latanoprost	1	0
latuda	0	0
leucovorin	0	1
levaquin	0	0
levetiracetam	1	0
levitra	0	1
levocetirizine	1	0
levofloxacin	1	0
levonorgestrel	1	0
levophed	0	1
levothyroxine	1	0
levoxyl	0	0
lexapro	0	0
librium	0	0
lidocaine	1	0
lignocaine	0	1
linaclotide	1	0
linagliptin	1	0
link	0	1
liothyronine	1	0
lipase	1	1
lipitor	0	0
liraglutide	1	0
lisdexamfetamine	1	0
lisinopril	1	1
lispro	1	0
lithium	1	0
lithobid	0	0
loperamide	1	0
lopinavir	0	1
lopressor	0	1
loratadine	1	0
lorazepam	1	2
losartan	1	1
lotensin	0	0
lovastatin	1	0
lovenox	0	1
lumefantrine	0	2
lunesta	0	0
lurasidone	0	0
luvox	0	0
lyrica	0	0
magnesium salts	1	0
maize	0	1
malathion	0	1
mannitol	0	2
mebendazole	0	2
meclizine	1	0
medroxyprogesterone	1	0
mefloquine	0	1
melatonin	1	0
meloxicam	1	0
memantine	1	0
meningococcal	0	2
ment	0	1
meperidine	0	1
meropenem	0	1
mesalamine	1	0
metformin	1	1
meth	0	1
methicillin	0	1
methimazole	1	0
methionine	0	1
methocarbamol	1	0
methotrexate	1	0
methylphenidate	1	0
methylprednisolone	1	0
metoclopramide	1	1
metoprolol	1	2
metronidazole	1	2
micardis	0	0
miconazole	0	1
midazolam	0	2
mirabegron	1	0
mirtazapine	1	0
mixtard	0	1
mobic	0	0
mometasone	1	0
mometasone formoterol	0	0
montelukast	1	0
morphine	1	3
motrin	0	1
mounjaro	0	0
moxifloxacin	1	0
mucolytic	0	1
mupirocin	1	0
n-acetylcysteine	0	1
nabumetone	1	0
naprosyn	0	0
naproxen	1	0
narcan	0	1
nasal	0	3
nasonex	0	0
nebivolol	1	0
nebulizers	0	2
neomycin	1	1
neurontin	0	0
nevirapine	0	1
nexium	0	0
niacin	1	0
nicardipine	0	1
nifedipine	1	1
nirmatrelvir	1	0
nirmatrelvir ritonavir	0	0
nitazoxanide	0	1
nitrofurantoin	1	1
nitroglycerin	1	2
nitroglycerine	0	1
nitroprusside	0	1
nitrostat	0	1
nnrti	0	1
norco	0	0
norelgestromin	1	0
norepinephrine	0	2
norethindrone	1	0
norfloxacin	0	2
norgestimate	1	0
norgestrel	1	0
nortriptyline	1	0
norvasc	0	0
nrti	0	1
nuprin	0	0
nystatin	1	2
ofloxacin	1	1
olanzapine	1	0
oleptro	0	0
olmesartan	1	0
olopatadine	1	0
omega-3-acid	1	0
omega-3-acid ethyl esters	1	0
omeprazole	1	1
ondansetron	1	1
oseltamivir	1	0
oxacillin	0	1
oxcarbazepine	1	0
oxybutynin	1	0
oxycodone	1	0
oxycontin	0	0
oxymetazoline	0	1
ozempic	0	0
pacerone	0	1
paliperidone	0	0
panadol	0	1
pancrelipase	1	0
pancrelipase amylase	1	0
pancrelipase lipase	1	0
pancrelipase protease	1	0
pantoprazole	1	0
papaya	0	1
paramomycin	0	1
parotid	0	1
paroxetine	1	0
pawpaw	0	1
paxil	0	0
paxlovid	0	0
peanut	0	2
peanuts	0	1
peas	0	1
pediatric	0	2
penicillin v	1	0
pentamidine	0	2
pepcid	0	0
percocet	0	0
perform	0	3
pertussis	0	1
pethidine	0	1
pharmaceutical	0	1
phenazopyridine	1	0
phenobarbitone	0	2
phentermine	1	0
phenylephrine	0	1
physostigmine	0	1
pioglitazone	1	0
piperaquine	0	2
plavix	0	1
polyethylene	1	0
polyethylene glycol 3350	1	0
polyethylene glycol 3350 with electrolytes	1	0
polymyxin	1	1
polymyxin b	1	0
potassium chloride	1	0
pradaxa	0	0
pralidoxime	0	2
pramipexole	1	0
prasugrel	0	1
pravachol	0	0
pravastatin	1	0
prazosin	0	1
prednisolone	1	2
prednisone	1	1
pregabalin	1	0
prilosec	0	0
primaquine	0	1
primidone	1	0
prinivil	0	0
pristiq	0	0
proair	0	0
procaine	0	1
progesterone	1	0
prolia	0	0
promethazine	1	0
propofol	0	1
propoxyphene	0	0
propranolol	1	1
protease	1	2
protonix	0	0
proven	0	2
proventil	0	0
prozac	0	0
pseudoephedrine	1	1
pumpkin	0	1
purpose	0	2
pyrazinamide	0	2
pyridoxine	0	1
pyrimethamine	0	2
pyrophosphate	0	1
quetiapine	1	0
qvar	0	0
rabeprazole	0	1
ramipril	1	0
ranitidine	0	1
rattlesnake	0	1
remeron	0	0
rennie	0	1
resonium	0	1
restoril	0	0
rexulti	0	0
riboflavin	1	0
rifabutin	0	1
rifampicin	0	2
rifampin	0	1
rimegepant	1	0
risperdal	0	0
risperidone	1	0
ritalin	0	0
ritonavir	1	1
rivaroxaban	1	1
rizatriptan	1	0
rocephin	0	1
rocuronium	0	1
ropinirole	1	0
rosuvastatin	1	0
rotarix	0	1
roxicodone	0	0
rybelsus	0	0
saccharate	1	0
sacubitril	1	0
salbutamol	0	2
salicylate	0	1
salmeterol	1	0
saphris	0	0
sarafem	0	0
saxenda	0	0
semaglutide	1	0
senna	1	0
septra	0	0
seroquel	0	0
sertraline	1	0
shape	0	1
sildenafil	1	1
simvastatin	1	0
sine	0	1
singulair	0	0
sitagliptin	1	0
sitagliptin metformin	0	0
sodium fluoride	1	0
sodium salts	1	0
solifenacin	1	0
sonata	0	0
sorbitol	0	1
spectinomycin	0	1
speed	0	1
spiriva	0	0
spironolactone	1	1
stavudine	0	1
stendra	0	1
strattera	0	0
streptokinase	0	1
sublimaze	0	1
succinylcholine	0	1
sucralfate	1	0
sulfadiazine	0	2
sulfadoxine	0	1
sulfamethoxazole	1	1
sulfamethoxazole trimethoprim	0	0
sulfur	0	1
sumatriptan	1	0
survive	0	1
symbicort	0	0
synthroid	0	0
tadalafil	1	1
tamiflu	0	0
tamsulosin	1	0
tartrate	0	1
task	0	1
tegretol	0	0
telmisartan	1	0
temazepam	0	0
tenecteplase	0	1
tenofovir	1	1
tenormin	0	0
terazosin	1	0
terbinafine	1	0
teriparatide	0	0
testosterone	1	0
tetanus	0	2
tetracaine	0	2
thiamine	0	1
thyroid	1	0
ticagrelor	1	1
timolol	1	0
tinidazole	0	1
