file_id	path	parakeet_span	medasr_replacement	vocab_phrase	edit_dist	max_len
D0420-S1-T03	A:acoustic	ablify	abilify	abilify	1	7
D0420-S2-T01	A:acoustic	clonopin	klonopin	klonopin	1	8
D0420-S2-T01	A:acoustic	clonopin	klonopin	klonopin	1	8
D0420-S2-T01	A:acoustic	clonopin	klonopin	klonopin	1	8
D0420-S2-T01	A:acoustic	clonopen	klonopin	klonopin	2	8
D0420-S2-T01	A:acoustic	clonopen	klonopin	klonopin	2	8
D0420-S2-T01	B:anchor	welbutrin produced	wellbutrin produce	wellbutrin	9	17
D0420-S2-T01	A:acoustic	welbutrin	wellbutrin	wellbutrin	1	10
D0420-S2-T01	A:acoustic	welbutrin	wellbutrin	wellbutrin	1	10
D0420-S2-T01	A:acoustic	welbutrin	wellbutrin	wellbutrin	1	10
D0420-S2-T01	A:acoustic	welbutrin	wellbutrin	wellbutrin	1	10
D0420-S2-T01	A:acoustic	wilbutrin	wellbutrin	wellbutrin	2	10
D0420-S2-T01	A:acoustic	clonopin	klonopin	klonopin	1	8
D0420-S4-T02	B:anchor	relief	aleve	aleve	5	6
D0420-S4-T02	B:anchor	leave	aleve	aleve	2	5
D0421-S1-T01	A:acoustic	seraquel	seroquel	seroquel	1	8
D0421-S1-T01	A:acoustic	seraquel	seroquel	seroquel	1	8
D0421-S1-T01	B:anchor	taking an ambient	to heat' ambien	ambien	9	15
D0421-S1-T01	A:acoustic	seraquel	seroquel	seroquel	1	8
D0421-S1-T01	A:acoustic	welbuterin	wellbutrin	wellbutrin	2	10
D0421-S1-T01	A:acoustic	seraquel	seroquel	seroquel	1	8
D0421-S1-T02	A:acoustic	ambient	ambien	ambien	1	7
D0421-S1-T02	A:acoustic	trazodome	trazodone	trazodone	1	9
D0422-S1-T03	B:anchor	wilbutra	wellbutrin	wellbutrin	4	10
D0422-S3-T03	B:anchor	sylexa	celexa	celexa	2	6
D0422-S4-T01	A:acoustic	ambient	ambien	ambien	1	7
D0422-S4-T01	A:acoustic	ambient	ambien	ambien	1	7
D0422-S4-T01	A:acoustic	ambient	ambien	ambien	1	7
D0422-S4-T02	A:acoustic	clonopin	klonopin	klonopin	1	8
D0422-S4-T02	A:acoustic	clonopid	klonopin	klonopin	2	8
D0422-S4-T02	A:acoustic	clonopin	klonopin	klonopin	1	8
D0422-S4-T02	A:acoustic	whelbutrin	wellbutrin	wellbutrin	2	10
D0422-S4-T02	A:acoustic	clonopin	klonopin	klonopin	1	8
D0422-S4-T02	B:anchor	welbutrin stops	wellbutrin stopped	wellbutrin	6	14
D0422-S4-T02	A:acoustic	clonopin	klonopin	klonopin	1	8
D0422-S4-T02	A:acoustic	clonopin	klonopin	klonopin	1	8
D0422-S4-T02	A:acoustic	clonopin	klonopin	klonopin	1	8
D0424-S2-T06	A:acoustic	wellbutron	wellbutrin	wellbutrin	1	10
D0424-S2-T06	B:anchor	wilburton	wellbutrin	wellbutrin	5	10
D0425-S2-T02	B:anchor	quanopin	klonopin	klonopin	3	8
