file_id	pattern	kind	parakeet_span	secondary_replacement
D0420-S1-T01	NEGATION	insert_surgical		not
D0420-S1-T01	NEGATION	insert_surgical		no
D0420-S1-T04	NUMERIC	insert_surgical		four
D0420-S2-T01	NUMERIC	insert_surgical		00
D0420-S3-T02	NUMERIC	insert_surgical		00
D0420-S3-T02	NUMERIC	insert_surgical		0
D0420-S3-T02	NUMERIC	insert_surgical		0
D0420-S3-T02	NEGATION	insert_surgical		didn't
D0420-S3-T02	NUMERIC	insert_surgical		one
D0421-S1-T02	NUMERIC	insert_surgical		00
D0421-S1-T02	NUMERIC	insert_surgical		00
D0421-S1-T02	NUMERIC	insert_surgical		0
D0421-S1-T04	NEGATION	insert_surgical		wasn't
D0421-S2-T02	NUMERIC	insert_surgical		00
D0421-S3-T02	NUMERIC	insert_surgical		five
D0421-S3-T03	NEGATION	insert_surgical		don't
D0421-S3-T03	NEGATION	insert_surgical		couldn't
D0421-S3-T04	NEGATION	insert_surgical		don't
D0422-S1-T02	NEGATION	insert_surgical		not
D0422-S1-T04	NEGATION	insert_surgical		never
D0422-S1-T04	NEGATION	insert_surgical		not
D0422-S1-T04	NEGATION	insert_surgical		don't
D0422-S2-T01	NEGATION	insert_surgical		don't
D0422-S2-T02	NEGATION	insert_surgical		didn't
D0422-S2-T02	NEGATION	insert_surgical		can't
D0422-S2-T02	NEGATION	insert_surgical		not
D0422-S3-T02	NEGATION	insert_surgical		can't
D0422-S3-T06	NUMERIC	insert_surgical		one
D0422-S4-T01	NUMERIC	insert_surgical		00
D0422-S4-T01	NUMERIC	insert_surgical		00
D0422-S4-T01	NEGATION	insert_surgical		can't
D0422-S4-T01	NEGATION	insert_surgical		not
D0422-S4-T02	NEGATION	insert_surgical		isn't
D0422-S4-T03	NUMERIC	insert_surgical		one
D0422-S4-T05	NEGATION	insert_surgical		no
D0423-S1-T02	NEGATION	insert_surgical		don't
D0423-S1-T03	NEGATION	insert_surgical		not
D0423-S2-T03	NUMERIC	insert_surgical		six
D0424-S2-T01	NEGATION	insert_surgical		wouldn't
D0424-S2-T01	NUMERIC	insert_surgical		one
D0424-S2-T01	NEGATION	insert_surgical		no
D0424-S2-T02	NEGATION	insert_surgical		not
D0424-S2-T02	NUMERIC	insert_surgical		0
D0424-S2-T02	NEGATION	insert_surgical		don't
D0424-S2-T02	NEGATION	insert_surgical		don't
D0424-S2-T02	NUMERIC	insert_surgical		one
D0424-S2-T02	NEGATION	insert_surgical		not
D0424-S2-T02	NEGATION	insert_surgical		don't
D0424-S2-T04	NEGATION	insert_surgical		no
D0424-S2-T04	NEGATION	insert_surgical		not
D0424-S2-T04	NUMERIC	insert_surgical		00
D0424-S2-T04	NEGATION	insert_surgical		don't
D0424-S2-T04	NUMERIC	insert_surgical		two
D0424-S2-T04	NEGATION	insert_surgical		not
D0424-S2-T04	NUMERIC	insert_surgical		three
D0424-S2-T05	NEGATION	insert_surgical		don't
D0424-S2-T05	NEGATION	insert_surgical		can't
D0424-S2-T05	NEGATION	insert_surgical		not
D0424-S2-T05	NUMERIC	insert_surgical		four
D0424-S2-T06	NEGATION	insert_surgical		not
D0424-S2-T06	NUMERIC	insert_surgical		two
D0424-S3-T01	NEGATION	insert_surgical		not
D0424-S3-T01	NUMERIC	insert_surgical		two
D0424-S3-T03	NEGATION	insert_surgical		don't
D0425-S1-T02	NEGATION	insert_surgical		not
D0425-S1-T03	NUMERIC	insert_surgical		one
D0425-S2-T02	NUMERIC	insert_surgical		000
D0425-S2-T02	NEGATION	insert_surgical		didn't
D0425-S3-T01	NEGATION	insert_surgical		not
D0425-S3-T01	NEGATION	insert_surgical		not
D0425-S3-T01	NEGATION	insert_surgical		not
D0425-S3-T01	NEGATION	insert_surgical		not
D0425-S3-T03	NEGATION	insert_surgical		don't
D0425-S3-T04	NEGATION	insert_surgical		don't
D0425-S3-T05	NEGATION	insert_surgical		don't
