file_id	position	type	parakeet_word	medasr_word
CAR0001	38	ins		chat uh
CAR0001	184	sub	laying	laing
CAR0001	653	sub	are	either
CAR0001	906	sub	okay well that's great	kay oht unintelligible work
CAR0001	966	sub	think my father did i see	family have u stroke no stroke
CAR0001	980	ins		no okay uhm is was there anything else that she wanted to uhm tell me about today thatu on on history no i don't you
CAR0002	0	sub	what	bra
CAR0002	304	sub	does it	did not
CAR0002	725	sub	rizubastatin	rosuvastatin
CAR0002	727	sub	lesidopril	lisinopril
CAR0002	870	ins		uh usually
CAR0002	923	ins		one
CAR0002	943	ins		okay and any recreational drugs like marijuana uh uh no marijuana uh but i have used uh crystal meth in the past okay and what when was the last uh time that you ed crystal meth uhm uh six days ago six days ago okay and how often you use crystal meth uh uh it a couple of times a month couple of times a month okay okay and uh for how long has you been h using crystal meth uh for the last uh uh seven years seven years okay alright thank you
CAR0003	72	ins		wing to
CAR0003	95	sub	50 meters	5 mes
CAR0003	150	sub	yeah i guess i'd	a and breathlessness again
CAR0003	400	sub	laying	laing
CAR0003	404	sub	i'm laying	am laing
CAR0003	496	sub	any	change
CAR0003	784	sub	a	unintelligible
CAR0003	989	sub	a	hope
CAR0003	1219	sub	lasics	lasix
CAR0004	281	sub	does it stay in the same spot yeah i	numbness u interms past medical history condition dibetes bureies
CAR0004	334	sub	other than that	unintelligible do drink
CAR0004	346	sub	besides the pain no	alcohol and drug use
CAR0005	67	sub	spot	spt
CAR0005	423	sub	felt have made	unintelligible me to
CAR0005	799	sub	yeah i	echo you
CAR0005	841	sub	congratulations that's a really tough thing	congratulation that''unintelligible uhm unintelligible 'ting secondary
CAR0005	893	sub	know that you	unintelligible said uh
CAR0005	1109	sub	you've never	unintelligible unintelligible
CAR0005	1151	ins		didn'tunintell youible today uh echon no one i think that's uhm echo uh i think that's all that i wanted to talkunintelligible ky so what i am going to do is bring all this information to uh to your family doctor and uh we can come back together and talk to about the next step
GAS0001	0	sub	what	sens
GAS0001	415	sub	sort of stomach-related	u stomach related
GAS0001	513	sub	but i	butn'tn'tn't calc
GAS0001	718	ins		weren'tlyl uh see uhm any allergiesuh justel je me rash not real uhm and uh a couple of questions go social history you
GAS0001	750	ins		month prob okay uhm andugs no oal uhm are you
GAS0001	767	ins		have any medical conditions that run
GAS0001	815	sub	month ago probably okay	questions and uh pla
GAS0002	162	sub	the spot	this spt
GAS0002	321	sub	rate	rat
GAS0002	836	sub	and	add
GAS0002	882	sub	and consultant	okay consulted
GAS0002	897	ins		unintelligible okay and do you feel the need touh cut down on your drinking uh not really okay if you felt to by people cuninelligible your drinking no okay you felt guilty about your drinking uh no so should be uh no at at this time just wanting to gauge uh a sense of uh how you feel about your uh drinking levels at at this time uh and uh the followup question to that would be uh have you ever felt the need tou have a drink early in the morning uh no no i never drink drink in the morning okay and uh do use recreational drugs uh nounintellig okay and do you smoke cigarettes no and uh uh oh and then uh who are you living with currently at home uh so i am living with my two children and my partner and can you tell me a little bit about the home situation yeah the home situation fine like uh kids are doing great and uh the partner is very supportive uh no no issues that i can think of at home okay excellent
GAS0003	0	sub	what brings you in here today yeah hi i have	tact with anyone who has been ill recently terms of
GAS0003	146	sub	rate it right now it's about	use any recreational drugs like marijuanar
GAS0003	217	sub	go to	clarifyig come
GAS0004	284	ins		unintelligible uhm okay
GAS0004	593	sub	i had	idominal cramp
GAS0004	888	sub	am okay and	wanted to ask
GAS0005	1204	sub	have you traveled anywhere no we've	uh tra anywheremeka uh andh he
MSK0001	260	sub	stay	stain
MSK0001	602	sub	at	atin
MSK0001	886	ins		okaylr i said few more questions for you uh or you currently sexually active uh yes
MSK0001	887	ins		and who are you sexually active with any new partners at
MSK0001	903	ins		with more than one partner in the past past year uh uh
MSK0001	905	ins		have uh uh two wn over the past year okay and u uh do use any kind of protection uh yes always use uh the condoms okay alright so now i
MSK0003	374	ins		tho
MSK0003	390	sub	ones	one
MSK0003	791	ins		weight
MSK0003	1575	ins		uhm which can present in men- uh your age and it is kind like a progressive dull uh back pain and that has some morning stiffness as well sayh the there is definitely multiple things that it can be so first we would need to do a full physical examination and book an appointment for for that in person uhm and we will will get some lab work done as well as well as uh x-ray of the of the uh spine and their sacroiliac joints uhm and we will also get some blood work with cbc uh crp and esr so those are just inflammatory markers as well as the rheumatoid factor and nuclear uh antibodies there are just something that will test for different kind of rheumatological issues and uh and to see if you have any arthritis see how those are then we will also get an x-ray of your hands and knees uh since you are having pain there as well so yeah that those are some steps that will take you have any questions or concerns no that thatuns uhm that sounds great thank you alr yeah so we will uh get in touch with you shortly soundible great thank you uh think it ch
MSK0004	269	sub	just stay in	sta u wheres
MSK0004	287	sub	like interior	leg anterior
MSK0004	461	ins		weight
MSK0004	471	ins		low- right extremity
